"tabela 1.3.2.2 - distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal, por grandes regiões, segundo o sexo e os grupos de idade - 2015",unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13
Sexo e grupos de idade,Distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal (%),,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,100,100,100,100,100,100
10 a 14 anos,18.9,23.5,19.3,16.4,17.3,25.1
15 a 17 anos,5.2,8.3,6.1,3.9,3.4,4.5
18 ou 19 anos,2.3,3.5,2.7,1.8,1.5,1.8
20 a 24 anos,4.2,6.8,5,2.9,3,3.9
25 a 29 anos,4.1,5.9,5.1,2.9,2.5,3.3
30 a 34 anos,4.5,6.2,5.4,3.3,3.3,4.2
35 a 39 anos,4.9,6.4,6,3.7,3.7,4.4
40 a 44 anos,5.1,5.7,5.8,4.3,4.6,4.6
45 a 49 anos,5.6,5.2,5.9,5.3,5.8,5.1
50 a 54 anos,6,5,5.9,6.2,7.2,4.7
55 a 59 anos,6.2,4.7,5.5,7.2,7.4,5.9
60 anos ou mais,33,18.7,27.3,42,40.2,32.5
Homens,100,100,100,100,100,100
10 a 14 anos,21,23.8,20.5,19.6,20.9,28.1
15 a 17 anos,6.2,8.6,7,5,4.6,5
18 ou 19 anos,2.7,3.8,3,2.3,1.6,2.1
20 a 24 anos,5,7.4,5.4,4,3.9,4.3
25 a 29 anos,4.4,5.6,5.3,3.5,3.1,3.6
30 a 34 anos,5,6.2,5.8,3.8,3.7,4.7
35 a 39 anos,5.2,6.2,6.2,4.1,3.6,4.6
40 a 44 anos,5.2,5.8,5.7,4.8,4.6,4.5
45 a 49 anos,5.6,5.3,6.1,5.3,5.6,5.5
50 a 54 anos,6,5.2,5.7,6.5,6.8,4.6
55 a 59 anos,5.8,4.7,5.3,6.4,7.3,5.2
60 anos ou mais,27.8,17.4,23.8,34.6,34.3,27.9
Mulheres,100,100,100,100,100,100
10 a 14 anos,16.7,23.2,18,13.6,14.3,22.1
15 a 17 anos,4.3,8,5.1,3,2.4,4.1
18 ou 19 anos,1.9,3.2,2.4,1.3,1.4,1.5
20 a 24 anos,3.4,6,4.5,1.9,2.2,3.5
25 a 29 anos,3.7,6.3,4.8,2.3,2,3.1
30 a 34 anos,4,6.2,4.9,2.9,2.9,3.7
35 a 39 anos,4.7,6.6,5.7,3.4,3.9,4.2
40 a 44 anos,5,5.7,5.9,3.9,4.5,4.8
45 a 49 anos,5.5,5.1,5.6,5.4,5.9,4.6
50 a 54 anos,6,4.8,6.2,6,7.6,4.7
55 a 59 anos,6.6,4.7,5.8,7.8,7.5,6.7
60 anos ou mais,38.1,20.2,31,48.5,45.4,36.9
