"tabela 1.3.20.2 - distribuição das pessoas de 10 anos ou mais de idade, por sexo e posse de telefone móvel celular para uso pessoal, segundo as grandes regiões, as unidades da federação e as regiões metropolitanas - 2015",unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,unnamed: 15,unnamed: 16,unnamed: 17,unnamed: 18,unnamed: 19
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,,,,
,Total,Posse de telefone móvel celular para uso pessoal,,Homens,,,Mulheres,,
,,,,Total,Posse de telefone móvel celular para uso pessoal,,Total,Posse de telefone móvel celular para uso pessoal,
,,Possuíam,Não possuíam,,Possuíam,Não possuíam,,Possuíam,Não possuíam
Brasil,100,78.3,21.7,100,77.6,22.4,100,78.9,21.1
Norte,100,68.6,31.4,100,66.5,33.5,100,70.7,29.3
Rondônia,100,75.9,24.1,100,74.8,25.2,100,77,23
Acre,100,69.2,30.8,100,66.3,33.7,100,72,28
Amazonas,100,68.9,31.1,100,66.2,33.8,100,71.6,28.4
Roraima,100,74.8,25.2,100,72.2,27.8,100,77.5,22.5
Pará,100,64.5,35.5,100,62.1,37.9,100,66.8,33.2
Região Metropolitana de Belém,100,82.8,17.2,100,82.1,17.9,100,83.5,16.5
Amapá,100,72.6,27.4,100,73.5,26.5,100,71.7,28.3
Tocantins,100,77,23,100,75.4,24.6,100,78.7,21.3
Nordeste,100,69.6,30.4,100,67.3,32.7,100,71.7,28.3
Maranhão,100,54.7,45.3,100,51.6,48.4,100,57.7,42.3
Piauí,100,68.4,31.6,100,65.7,34.3,100,71.1,28.9
Ceará,100,67.6,32.4,100,64.4,35.6,100,70.7,29.3
Região Metropolitana de Fortaleza,100,81.6,18.4,100,79.9,20.1,100,83.2,16.8
Rio Grande do Norte,100,75.6,24.4,100,73,27,100,78,22
Paraíba,100,76.4,23.6,100,74.3,25.7,100,78.3,21.7
Pernambuco,100,73.7,26.3,100,72.1,27.9,100,75.2,24.8
Região Metropolitana de Recife,100,84.6,15.4,100,85.3,14.7,100,84.1,15.9
Alagoas,100,67.2,32.8,100,64.9,35.1,100,69.4,30.6
Sergipe,100,76.4,23.6,100,74.1,25.9,100,78.4,21.6
Bahia,100,71.3,28.7,100,69.8,30.2,100,72.6,27.4
Região Metropolitana de Salvador,100,87.9,12.1,100,88.4,11.6,100,87.5,12.5
Sudeste,100,82.6,17.4,100,82.9,17.1,100,82.3,17.7
Minas Gerais,100,79.8,20.2,100,79.5,20.5,100,80.1,19.9
Região Metropolitana de Belo Horizonte,100,87.2,12.8,100,87.2,12.8,100,87.3,12.7
Espírito Santo,100,81.1,18.9,100,80.5,19.5,100,81.6,18.4
Rio de Janeiro,100,83.1,16.9,100,84.2,15.8,100,82.1,17.9
Região Metropolitana do Rio de Janeiro,100,84.3,15.7,100,86.1,13.9,100,82.7,17.3
São Paulo,100,83.9,16.1,100,84.3,15.7,100,83.5,16.5
Região Metropolitana de São Paulo,100,85.1,14.9,100,85.4,14.6,100,84.7,15.3
Sul,100,82.8,17.2,100,83.5,16.5,100,82.3,17.7
Paraná,100,81.5,18.5,100,82.4,17.6,100,80.7,19.3
Região Metropolitana de Curitiba,100,84.3,15.7,100,85.6,14.4,100,83.1,16.9
Santa Catarina,100,81,19,100,82.3,17.7,100,79.8,20.2
Rio Grande do Sul,100,85.2,14.8,100,85.3,14.7,100,85.1,14.9
Região Metropolitana de Porto Alegre,100,88.9,11.1,100,89.1,10.9,100,88.8,11.2
Centro-Oeste,100,86.9,13.1,100,86.7,13.3,100,87,13
Mato Grosso do Sul,100,86.7,13.3,100,86.7,13.3,100,86.7,13.3
Mato Grosso,100,83.3,16.7,100,82.5,17.5,100,84.1,15.9
Goiás,100,87,13,100,87,13,100,86.9,13.1
Distrito Federal,100,90.7,9.3,100,90.9,9.1,100,90.6,9.4
