"tabela 1.3.21.2 - distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por grupos de idade, segundo as grandes regiões, as unidades da federação e as regiões metropolitanas - 2015",unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,unnamed: 15,unnamed: 16,unnamed: 17,unnamed: 18,unnamed: 19,"tabela 1.3.21.3 - percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade, por grupos de idade, segundo as grandes regiões, as unidades da federação e as regiões metropolitanas - 2015",unnamed: 21,unnamed: 22,unnamed: 23,unnamed: 24,unnamed: 25,unnamed: 26,unnamed: 27,unnamed: 28,unnamed: 29
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal (%),,,,,,,,,"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas","Percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade (%)",,,,,,,,
,Total,Grupos de idade,,,,,,,,,Total,Grupos de idade,,,,,,,
,,10 a 14 anos,15 a 19 anos,20 a 24 anos,25 a 29 anos,30 a 39 anos,40 a 49 anos,50 a 59 anos,60 anos ou mais,,,10 a 14 anos,15 a 19 anos,20 a 24 anos,25 a 29 anos,30 a 39 anos,40 a 49 anos,50 a 59 anos,60 anos ou mais
Brasil,100,6.2,10.5,10,9.9,20.4,17.3,13.8,12,Brasil,78.3,54.1,83.3,89.6,89.8,88.6,85.4,80.3,56.6
Norte,100,6.2,12,11.7,11.3,21.9,16.4,11.4,9.2,Norte,68.6,36.5,68.8,79,80.6,79.1,76.6,71.9,51.7
Rondônia,100,6.3,11.5,10.8,11.3,21.6,17.2,12.5,8.9,Rondônia,75.9,47.8,79.4,85.5,87.2,84.7,80.3,77.8,56.7
Acre,100,7,13.6,12.6,11.5,21.3,16.6,8.6,8.8,Acre,69.2,39.9,68,77,83.1,80,77.1,66.7,55.5
Amazonas,100,6.7,11.4,13,11.5,22.1,15.9,10.9,8.6,Amazonas,68.9,36.5,65.5,77.5,80.1,79.3,79.4,73.9,54.5
Roraima,100,8.8,12.4,11.4,10.2,23.9,15,10.8,7.5,Roraima,74.8,48.4,74.7,83.7,82.5,87.9,81.7,74.9,58.2
Pará,100,5.6,12.4,11.3,11.6,21.7,16.8,11.4,9.2,Pará,64.5,31.7,65.6,76.1,78,75.1,72.3,67.2,46.8
Região Metropolitana de Belém,100,5.2,10,10.8,11,22.1,17.8,12.3,10.7,Região Metropolitana de Belém,82.8,50.5,82.8,91.9,94,92.5,89.7,83.7,65.5
Amapá,100,6.4,12.1,13.2,10.8,24.3,15.2,9.7,8.2,Amapá,72.6,37.1,71.5,82.3,80.5,84.8,80.9,75.6,60
Tocantins,100,6.2,11.1,10.3,10,21.1,16.1,13.5,11.7,Tocantins,77,44.6,81.5,90.2,87.1,86.6,84.9,83.4,58.7
Nordeste,100,6.5,11.9,10.9,10.6,20.9,16.5,12.1,10.6,Nordeste,69.6,43.6,75.5,83.3,82.8,80.8,76.4,70.8,46.9
Maranhão,100,6.6,13.9,11.7,12.4,21.8,14.9,10,8.7,Maranhão,54.7,27.9,61.3,67.8,68.7,66.3,61.9,52.4,34.7
Piauí,100,6.6,12.6,11.3,10.5,21.2,15.6,12.2,9.9,Piauí,68.4,40.1,77.4,83.2,84.7,77.4,72,70.3,47.7
Ceará,100,6.2,12,12,11.2,20.9,15.9,10.9,10.9,Ceará,67.6,44.6,76.2,83.3,80.5,79.9,73.1,66.3,42.5
Região Metropolitana de Fortaleza,100,6.1,10.8,11.6,11.3,21.2,17.2,11.7,10.1,Região Metropolitana de Fortaleza,81.6,55,86,91.1,93,92.4,88.6,82.3,58.1
Rio Grande do Norte,100,7.2,11.2,11.3,11.3,20.3,16.3,12.1,10.3,Rio Grande do Norte,75.6,55.4,83.5,86.1,88.7,86.2,78.8,74,53.1
Paraíba,100,7,10.9,11,10.4,20.7,16.6,12.6,10.8,Paraíba,76.4,53.6,83,89.1,89.5,88.6,80.8,77.2,52.7
Pernambuco,100,6.6,11.7,10.2,10.1,19.6,17.2,12.8,11.7,Pernambuco,73.7,49.8,80.5,86.8,86.2,83.6,81.4,77.3,50.6
Região Metropolitana de Recife,100,6.5,10.4,9.6,9.1,19.5,17.2,14.3,13.5,Região Metropolitana de Recife,84.6,66.3,90.2,94.5,94.2,94.3,91.5,87.9,63.2
Alagoas,100,5.9,12,11.3,10.3,20.8,17,13.1,9.6,Alagoas,67.2,36.9,71.2,83.9,82.6,78.6,74.5,71.5,43.1
Sergipe,100,6.8,12.5,11.4,10.8,20.8,15.6,12.2,9.8,Sergipe,76.4,49.5,82,90,88.2,84.6,82.5,79,54.5
Bahia,100,6.4,11.4,10.1,10.1,21.7,17.1,12.7,10.6,Bahia,71.3,44.3,75.1,85.1,84.5,83.2,79.1,72.3,48.9
Região Metropolitana de Salvador,100,5.9,9.8,9.5,9.8,22.4,18.1,13.8,10.5,Região Metropolitana de Salvador,87.9,63.3,90,94.7,96.2,95.8,93.7,90.3,69.3
Sudeste,100,6,9.8,9.5,9.4,20.3,17.7,14.6,12.7,Sudeste,82.6,63.6,89.1,94,93.9,93.1,89.7,83.8,59
Minas Gerais,100,6.2,10.4,9.9,9.5,20.4,17.5,14,12.1,Minas Gerais,79.8,59.7,86.4,91.9,91.2,90.9,86.1,80.6,56.4
Região Metropolitana de Belo Horizonte,100,6,9.9,10.5,9.9,20.3,17.7,13.8,12,Região Metropolitana de Belo Horizonte,87.2,65.3,92.6,96.4,95.8,95.4,94.3,89,66.2
Espírito Santo,100,5.8,9.6,8.8,10,21,17.7,14.3,12.8,Espírito Santo,81.1,54.9,86.9,94.2,93.2,91.8,87.3,82.4,60.6
Rio de Janeiro,100,5.7,9.8,9.1,8.6,19.9,16.8,15.3,14.8,Rio de Janeiro,83.1,64.3,90.4,95,94.1,92.9,90.9,84.3,62
Região Metropolitana do Rio de Janeiro,100,5.7,9.6,9.2,8.5,20.2,16.8,14.9,14.9,Região Metropolitana do Rio de Janeiro,84.3,66.4,90.8,95.6,95.4,94.2,91.8,85.5,63.1
São Paulo,100,6.1,9.6,9.6,9.7,20.3,18,14.6,12.2,São Paulo,83.9,66.2,90.2,94.7,95.2,94.4,91.1,85.2,58.8
Região Metropolitana de São Paulo,100,5.9,10.1,9.2,9.8,20.3,18.1,14.6,11.9,Região Metropolitana de São Paulo,85.1,65,90.6,95,95.4,95.6,92.1,87.1,60.6
Sul,100,5.7,9.7,9.5,9.2,19.2,17.5,15.6,13.6,Sul,82.8,61.5,90.5,93.9,94.7,92.9,89.1,83.7,61.9
Paraná,100,5.8,10.3,10.1,10,19.5,17.6,14.9,11.9,Paraná,81.5,60,89.5,94.1,93.8,92.3,87.5,81.4,57.6
Região Metropolitana de Curitiba,100,5.8,10,9.4,9.8,20.2,18.2,15.4,11.2,Região Metropolitana de Curitiba,84.3,61.8,91.4,96.1,95.8,94.5,91.2,85,59.3
Santa Catarina,100,5.2,10,9.2,9.6,20.3,18.2,15.4,12,Santa Catarina,81,57.2,90.8,93.1,94.5,92.2,87.8,80.6,56.5
Rio Grande do Sul,100,6,8.9,9.2,8.3,18.3,17,16.4,16,Rio Grande do Sul,85.2,65.6,91.5,94.2,95.8,94.1,91.5,87.6,68.3
Região Metropolitana de Porto Alegre,100,6.3,9.2,8.7,8.5,18.9,16.8,16.3,15.4,Região Metropolitana de Porto Alegre,88.9,70,91.3,96,96.7,95.9,95.1,91,75.8
Centro-Oeste,100,6.7,10.1,10,9.9,20.9,17.9,13.1,11.4,Centro-Oeste,86.9,63.8,91.3,94.5,95.2,94.2,92.4,89.1,69.9
Mato Grosso do Sul,100,6.5,9.6,10.7,9.6,19,18.1,13.3,13.1,Mato Grosso do Sul,86.7,62.6,89.8,95.4,94.9,93.4,93,88.1,73.2
Mato Grosso,100,6.3,10.5,9.7,10.8,21.6,17.7,12.8,10.6,Mato Grosso,83.3,56.3,88.8,91.1,93.4,91.4,89,85.3,65
Goiás,100,7,10,10,9.6,20.7,18.1,13.3,11.3,Goiás,87,66.1,92,95.2,94.7,94.7,92.3,89.6,68.2
Distrito Federal,100,6.5,10.5,9.7,9.9,22.3,17.6,12.8,10.8,Distrito Federal,90.7,68.6,93.9,95.6,98.3,96.5,96,93.1,75.8
