"tabela 1.3.22.2 - distribuição das pessoas de 10 anos ou mais de idade, total e que tinham telefone móvel celular para uso pessoal, e percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade, por situação do domicílio, segundo as grandes regiões e as unidades da federação - 2015",unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,unnamed: 15,unnamed: 16
Grandes Regiões e Unidades da Federação,Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,,"Percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade (%)",,
,Total,Situação do domicílio,,Tinham telefone móvel celular para uso pessoal,,,,,
,,,,Total,Situação do domicílio,,Total,Situação do domicílio,
,,Urbana,Rural,,Urbana,Rural,,Urbana,Rural
Brasil,100,85,15,100,89.9,10.1,78.3,82.8,52.8
Norte,100,75.6,24.4,100,86.1,13.9,68.6,78.1,39.1
Rondônia,100,76.1,23.9,100,81.7,18.3,75.9,81.6,57.8
Acre,100,72.5,27.5,100,83.7,16.3,69.2,79.9,40.9
Amazonas,100,84.8,15.2,100,95.3,4.7,68.9,77.4,21.2
Roraima,100,84.7,15.3,100,93,7,74.8,82.2,34.3
Pará,100,69.2,30.8,100,81.9,18.1,64.5,76.2,37.9
Amapá,100,87.7,12.3,100,94.9,5.1,72.6,78.5,30.2
Tocantins,100,78.2,21.8,100,83.9,16.1,77,82.6,56.9
Nordeste,100,73.4,26.6,100,82.4,17.6,69.6,78.1,46
Maranhão,100,59.8,40.2,100,76.3,23.7,54.7,69.7,32.3
Piauí,100,66.5,33.5,100,76.7,23.3,68.4,78.9,47.6
Ceará,100,72.9,27.1,100,81.4,18.6,67.6,75.5,46.3
Rio Grande do Norte,100,77.7,22.3,100,83.6,16.4,75.6,81.3,55.7
Paraíba,100,80.4,19.6,100,84.4,15.6,76.4,80.2,60.8
Pernambuco,100,80.2,19.8,100,86.9,13.1,73.7,79.9,48.7
Alagoas,100,73.8,26.2,100,81.5,18.5,67.2,74.3,47.5
Sergipe,100,71.5,28.5,100,76.7,23.3,76.4,81.9,62.4
Bahia,100,74.3,25.7,100,83.5,16.5,71.3,80.2,45.6
Sudeste,100,93.2,6.8,100,94.8,5.2,82.6,84,63.6
Minas Gerais,100,84.1,15.9,100,88.3,11.7,79.8,83.9,58.6
Espírito Santo,100,85,15,100,88.8,11.2,81.1,84.7,60.9
Rio de Janeiro,100,97.4,2.6,100,98,2,83.1,83.6,63.6
São Paulo,100,96.6,3.4,100,97,3,83.9,84.2,75.5
Sul,100,85.4,14.6,100,88.2,11.8,82.8,85.5,67.2
Paraná,100,87.3,12.7,100,89.6,10.4,81.5,83.7,66.8
Santa Catarina,100,83.6,16.4,100,87.3,12.7,81,84.6,62.9
Rio Grande do Sul,100,84.7,15.3,100,87.4,12.6,85.2,87.9,70.3
Centro-Oeste,100,89.9,10.1,100,91.6,8.4,86.9,88.5,72.8
Mato Grosso do Sul,100,89.2,10.8,100,90.4,9.6,86.7,87.8,77.5
Mato Grosso,100,81.9,18.1,100,86.2,13.8,83.3,87.7,63.5
Goiás,100,91.6,8.4,100,92.5,7.5,87,87.8,77.8
Distrito Federal,100,95.5,4.5,100,95.9,4.1,90.7,91.1,82.5
