"tabela 1.3.23.2 - distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por grupos de anos de estudo, segundo as grandes regiões, as unidades da federação e as regiões metropolitanas - 2015",unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,unnamed: 15,"tabela 1.3.23.3 - percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade, por grupos de anos de estudo, segundo as grandes regiões, as unidades da federação e as regiões metropolitanas - 2015",unnamed: 17,unnamed: 18,unnamed: 19,unnamed: 20,unnamed: 21,unnamed: 22,unnamed: 23
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal (%),,,,,,,"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas","Percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade (%)",,,,,,
,Total,Grupos de anos de estudo,,,,,,,Total (1),Grupos de anos de estudo,,,,,
,,Sem instrução a menos de 4 anos,4 a 7 anos,8 a 10 anos,11 a 14 anos,15 anos ou mais,Não deter-minados,,,Sem instrução a menos de 4 anos,4 a 7 anos,8 a 10 anos,11 a 14 anos,15 anos ou mais,Não deter-minados
Brasil,100,11,22.4,19,35.2,12.3,0.1,Brasil,78.3,46.3,70.8,86.2,93.8,97,75.5
Norte,100,12.6,22.1,20.7,35.1,9.4,0.2,Norte,68.6,38.6,58.3,78,90.5,96.1,54
Rondônia,100,14,25.7,19.4,30,10.7,0.1,Rondônia,75.9,49.7,70.5,83.4,92.1,96.6,100
Acre,100,16.4,17.1,22.1,33.1,10.8,0.5,Acre,69.2,42.2,56.8,80.4,92.3,93.9,66.6
Amazonas,100,9.1,20,18.8,41.4,10.5,0.2,Amazonas,68.9,34.9,55.3,73,90.6,96.4,33.3
Roraima,100,9.1,19.6,18.7,39,13.5,0.1,Roraima,74.8,42.3,60.9,77.2,93.4,97.6,100
Pará,100,13.6,23.2,22.2,33.5,7.4,0.2,Pará,64.5,35.3,54.9,77.3,89,95,56.4
Região Metropolitana de Belém,100,7,18.4,23.1,40.3,10.8,0.3,Região Metropolitana de Belém,82.8,48.8,70.4,88,94.7,98.5,74.1
Amapá,100,9.4,19.3,20.8,38.7,11.5,0.3,Amapá,72.6,39,58.8,80.1,90.4,98,85.7
Tocantins,100,14.9,21.7,19.6,32,11.8,0.1,Tocantins,77,49.2,70.2,86.7,94,97.9,100
Nordeste,100,16.1,23.9,18.3,33,8.5,0.2,Nordeste,69.6,40.3,65.4,81.8,92.3,96.7,66.9
Maranhão,100,14.2,21.5,21.1,35.5,7.6,0.1,Maranhão,54.7,26,46.1,68.4,84.3,92.9,40
Piauí,100,18.6,25.9,20.2,26.5,8.7,0,Piauí,68.4,41.5,65.7,84.4,92.1,96.7,100
Ceará,100,15.2,21,20.4,35.5,7.8,0.2,Ceará,67.6,37.4,61,79.4,91.3,96.3,70.7
Região Metropolitana de Fortaleza,100,10.9,20.1,20.7,39.1,9.1,0.2,Região Metropolitana de Fortaleza,81.6,51.1,72.6,88.4,95.9,99,84.2
Rio Grande do Norte,100,14.5,25.5,16.8,33.2,9.7,0.2,Rio Grande do Norte,75.6,45.4,72.2,85.4,94.9,98.1,70
Paraíba,100,18.2,24.1,16.6,30,11,0.1,Paraíba,76.4,49.1,74.8,88.3,95.3,97.6,100
Pernambuco,100,15.2,23.7,18,33,9.8,0.3,Pernambuco,73.7,43.2,69.8,86,94.1,96.9,76.3
