"tabela 1.3.25.2 - distribuição das pessoas de 10 anos ou mais de idade, por condição de estudantes e posse de telefone móvel celular para uso pessoal, segundo as grandes regiões, as unidades da federação e as regiões metropolitanas - 2015",unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,unnamed: 15,unnamed: 16,unnamed: 17,unnamed: 18,unnamed: 19
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,,,,
,Total,Posse de telefone móvel celular para uso pessoal,,Estudantes,,,Não estudantes,,
,,,,Total,Posse de telefone móvel celular para uso pessoal,,Total,Posse de telefone móvel celular para uso pessoal,
,,Possuíam,Não possuíam,,Possuíam,Não possuíam,,Possuíam,Não possuíam
Brasil,100,78.3,21.7,100,74,26,100,79.4,20.6
Norte,100,68.6,31.4,100,59.4,40.6,100,71.8,28.2
Rondônia,100,75.9,24.1,100,70.4,29.6,100,77.4,22.6
Acre,100,69.2,30.8,100,61.6,38.4,100,72.2,27.8
Amazonas,100,68.9,31.1,100,58.2,41.8,100,73,27
Roraima,100,74.8,25.2,100,67.9,32.1,100,77.9,22.1
Pará,100,64.5,35.5,100,55,45,100,67.6,32.4
Região Metropolitana de Belém,100,82.8,17.2,100,74.2,25.8,100,85.3,14.7
Amapá,100,72.6,27.4,100,62.6,37.4,100,76.7,23.3
Tocantins,100,77,23,100,68.9,31.1,100,79.6,20.4
Nordeste,100,69.6,30.4,100,65,35,100,70.9,29.1
Maranhão,100,54.7,45.3,100,47.5,52.5,100,57.1,42.9
Piauí,100,68.4,31.6,100,63.6,36.4,100,70,30
Ceará,100,67.6,32.4,100,66.4,33.6,100,67.9,32.1
Região Metropolitana de Fortaleza,100,81.6,18.4,100,76.6,23.4,100,83,17
Rio Grande do Norte,100,75.6,24.4,100,75.5,24.5,100,75.7,24.3
Paraíba,100,76.4,23.6,100,74.5,25.5,100,76.9,23.1
Pernambuco,100,73.7,26.3,100,69.7,30.3,100,74.8,25.2
Região Metropolitana de Recife,100,84.6,15.4,100,81.8,18.2,100,85.3,14.7
Alagoas,100,67.2,32.8,100,60.7,39.3,100,69.2,30.8
Sergipe,100,76.4,23.6,100,70,30,100,78.2,21.8
Bahia,100,71.3,28.7,100,65.6,34.4,100,72.9,27.1
Região Metropolitana de Salvador,100,87.9,12.1,100,83.1,16.9,100,89.3,10.7
Sudeste,100,82.6,17.4,100,80.7,19.3,100,83,17
Minas Gerais,100,79.8,20.2,100,78.1,21.9,100,80.3,19.7
Região Metropolitana de Belo Horizonte,100,87.2,12.8,100,84,16,100,88,12
Espírito Santo,100,81.1,18.9,100,75.5,24.5,100,82.4,17.6
Rio de Janeiro,100,83.1,16.9,100,81.8,18.2,100,83.4,16.6
Região Metropolitana do Rio de Janeiro,100,84.3,15.7,100,83.2,16.8,100,84.5,15.5
São Paulo,100,83.9,16.1,100,82.1,17.9,100,84.3,15.7
Região Metropolitana de São Paulo,100,85.1,14.9,100,82.2,17.8,100,85.7,14.3
Sul,100,82.8,17.2,100,81,19,100,83.3,16.7
Paraná,100,81.5,18.5,100,79.9,20.1,100,81.9,18.1
Região Metropolitana de Curitiba,100,84.3,15.7,100,81.1,18.9,100,85,15
Santa Catarina,100,81,19,100,79.6,20.4,100,81.4,18.6
Rio Grande do Sul,100,85.2,14.8,100,82.8,17.2,100,85.7,14.3
Região Metropolitana de Porto Alegre,100,88.9,11.1,100,85.1,14.9,100,89.9,10.1
Centro-Oeste,100,86.9,13.1,100,82.2,17.8,100,88.2,11.8
Mato Grosso do Sul,100,86.7,13.3,100,80.8,19.2,100,88.2,11.8
Mato Grosso,100,83.3,16.7,100,76.7,23.3,100,85.1,14.9
Goiás,100,87,13,100,83,17,100,88,12
Distrito Federal,100,90.7,9.3,100,86.9,13.1,100,92,8
