"tabela 1.3.26.2 - distribuição das pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e posse de telefone móvel celular para uso pessoal, segundo as grandes regiões, as unidades da federação e as regiões metropolitanas - 2015",unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,unnamed: 15,unnamed: 16,unnamed: 17,unnamed: 18,unnamed: 19
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,,,,
,Total,Posse de telefone móvel celular para uso pessoal,,Condição de atividade na semana de referência,,,,,
,,,,Economicamente ativas,,,Não economicamente ativas,,
,,,,Total,Posse de telefone móvel celular para uso pessoal,,Total,Posse de telefone móvel celular para uso pessoal,
,,Possuíam,Não possuíam,,Possuíam,Não possuíam,,Possuíam,Não possuíam
Brasil,100,78.3,21.7,100,87.4,12.6,100,64.9,35.1
Norte,100,68.6,31.4,100,77.2,22.8,100,57.1,42.9
Rondônia,100,75.9,24.1,100,84.3,15.7,100,64.1,35.9
Acre,100,69.2,30.8,100,76.6,23.4,100,60.2,39.8
Amazonas,100,68.9,31.1,100,77,23,100,58,42
Roraima,100,74.8,25.2,100,84.9,15.1,100,60.1,39.9
Pará,100,64.5,35.5,100,73,27,100,53.2,46.8
Região Metropolitana de Belém,100,82.8,17.2,100,91,9,100,71,29
Amapá,100,72.6,27.4,100,84.6,15.4,100,58.8,41.2
Tocantins,100,77,23,100,86.3,13.7,100,64.8,35.2
Nordeste,100,69.6,30.4,100,79.3,20.7,100,57.6,42.4
Maranhão,100,54.7,45.3,100,61.9,38.1,100,45.5,54.5
Piauí,100,68.4,31.6,100,75.4,24.6,100,56.6,43.4
Ceará,100,67.6,32.4,100,79.4,20.6,100,54.9,45.1
Região Metropolitana de Fortaleza,100,81.6,18.4,100,91.8,8.2,100,68,32
Rio Grande do Norte,100,75.6,24.4,100,84.1,15.9,100,65.1,34.9
Paraíba,100,76.4,23.6,100,84.8,15.2,100,64.8,35.2
Pernambuco,100,73.7,26.3,100,83.5,16.5,100,62.8,37.2
Região Metropolitana de Recife,100,84.6,15.4,100,94.1,5.9,100,73.3,26.7
Alagoas,100,67.2,32.8,100,80.4,19.6,100,55.3,44.7
Sergipe,100,76.4,23.6,100,84,16,100,65.2,34.8
Bahia,100,71.3,28.7,100,81.5,18.5,100,57.2,42.8
Região Metropolitana de Salvador,100,87.9,12.1,100,95.1,4.9,100,75,25
Sudeste,100,82.6,17.4,100,91.6,8.4,100,68.6,31.4
Minas Gerais,100,79.8,20.2,100,88.1,11.9,100,66,34
Região Metropolitana de Belo Horizonte,100,87.2,12.8,100,95.1,4.9,100,72.5,27.5
Espírito Santo,100,81.1,18.9,100,90.1,9.9,100,67.5,32.5
Rio de Janeiro,100,83.1,16.9,100,92.3,7.7,100,70.7,29.3
Região Metropolitana do Rio de Janeiro,100,84.3,15.7,100,93.3,6.7,100,71.8,28.2
São Paulo,100,83.9,16.1,100,93.2,6.8,100,69.1,30.9
Região Metropolitana de São Paulo,100,85.1,14.9,100,93.8,6.2,100,70.8,29.2
Sul,100,82.8,17.2,100,91,9,100,69.2,30.8
Paraná,100,81.5,18.5,100,90.9,9.1,100,66.6,33.4
Região Metropolitana de Curitiba,100,84.3,15.7,100,94.2,5.8,100,68.8,31.2
Santa Catarina,100,81,19,100,90.7,9.3,100,65.5,34.5
Rio Grande do Sul,100,85.2,14.8,100,91.4,8.6,100,74.3,25.7
Região Metropolitana de Porto Alegre,100,88.9,11.1,100,95.5,4.5,100,78.2,21.8
Centro-Oeste,100,86.9,13.1,100,93.9,6.1,100,75.4,24.6
Mato Grosso do Sul,100,86.7,13.3,100,93.5,6.5,100,75.1,24.9
Mato Grosso,100,83.3,16.7,100,90.7,9.3,100,71.4,28.6
Goiás,100,87,13,100,94.3,5.7,100,74.9,25.1
Distrito Federal,100,90.7,9.3,100,96.8,3.2,100,80.9,19.1
