"tabela 1.3.27.2 - distribuição das pessoas de 10 anos ou mais de idade, por situação de ocupação na semana de referência e posse de telefone móvel celular para uso pessoal, segundo as grandes regiões, as unidades da federação e as regiões metropolitanas - 2015",unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,unnamed: 15,unnamed: 16,unnamed: 17,unnamed: 18,unnamed: 19
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,,,,
,Total,Posse de telefone móvel celular para uso pessoal,,Situação de ocupação na semana de referência,,,,,
,,,,Ocupadas,,,Não ocupadas,,
,,,,Total,Posse de telefone móvel celular para uso pessoal,,Total,Posse de telefone móvel celular para uso pessoal,
,,Utilizaram,Não utilizaram,,Possuíam,Não possuíam,,Possuíam,Não possuíam
Brasil,100,78.3,21.7,100,87.2,12.8,100,67.9,32.1
Norte,100,68.6,31.4,100,76.5,23.5,100,60.1,39.9
Rondônia,100,75.9,24.1,100,84.1,15.9,100,66,34
Acre,100,69.2,30.8,100,75.5,24.5,100,62.6,37.4
Amazonas,100,68.9,31.1,100,75.7,24.3,100,61.9,38.1
Roraima,100,74.8,25.2,100,84.6,15.4,100,63.7,36.3
Pará,100,64.5,35.5,100,72.3,27.7,100,55.8,44.2
Região Metropolitana de Belém,100,82.8,17.2,100,91.1,8.9,100,74.1,25.9
Amapá,100,72.6,27.4,100,83.7,16.3,100,62.4,37.6
Tocantins,100,77,23,100,86.1,13.9,100,67.3,32.7
Nordeste,100,69.6,30.4,100,78.5,21.5,100,60.7,39.3
Maranhão,100,54.7,45.3,100,60.4,39.6,100,48.5,51.5
Piauí,100,68.4,31.6,100,74.4,25.6,100,60.1,39.9
Ceará,100,67.6,32.4,100,78.8,21.2,100,57.4,42.6
Região Metropolitana de Fortaleza,100,81.6,18.4,100,91.9,8.1,100,70.7,29.3
Rio Grande do Norte,100,75.6,24.4,100,83.8,16.2,100,68,32
Paraíba,100,76.4,23.6,100,84.6,15.4,100,67.3,32.7
Pernambuco,100,73.7,26.3,100,83,17,100,65.6,34.4
Região Metropolitana de Recife,100,84.6,15.4,100,94.4,5.6,100,76.3,23.7
Alagoas,100,67.2,32.8,100,79.9,20.1,100,58.7,41.3
Sergipe,100,76.4,23.6,100,83.5,16.5,100,68.1,31.9
Bahia,100,71.3,28.7,100,81,19,100,60.9,39.1
Região Metropolitana de Salvador,100,87.9,12.1,100,95.5,4.5,100,78.9,21.1
Sudeste,100,82.6,17.4,100,91.7,8.3,100,71.8,28.2
Minas Gerais,100,79.8,20.2,100,87.9,12.1,100,69.2,30.8
Região Metropolitana de Belo Horizonte,100,87.2,12.8,100,95.4,4.6,100,76.4,23.6
Espírito Santo,100,81.1,18.9,100,89.9,10.1,100,70.9,29.1
Rio de Janeiro,100,83.1,16.9,100,92.5,7.5,100,73.4,26.6
Região Metropolitana do Rio de Janeiro,100,84.3,15.7,100,93.7,6.3,100,74.3,25.7
São Paulo,100,83.9,16.1,100,93.4,6.6,100,72.4,27.6
Região Metropolitana de São Paulo,100,85.1,14.9,100,94.1,5.9,100,74.1,25.9
Sul,100,82.8,17.2,100,91.1,8.9,100,71.4,28.6
Paraná,100,81.5,18.5,100,91.1,8.9,100,68.8,31.2
Região Metropolitana de Curitiba,100,84.3,15.7,100,94.3,5.7,100,71.3,28.7
Santa Catarina,100,81,19,100,90.5,9.5,100,67.8,32.2
Rio Grande do Sul,100,85.2,14.8,100,91.3,8.7,100,76.4,23.6
Região Metropolitana de Porto Alegre,100,88.9,11.1,100,95.7,4.3,100,80.1,19.9
Centro-Oeste,100,86.9,13.1,100,93.9,6.1,100,77.5,22.5
Mato Grosso do Sul,100,86.7,13.3,100,93.5,6.5,100,76.9,23.1
Mato Grosso,100,83.3,16.7,100,90.7,9.3,100,73.1,26.9
Goiás,100,87,13,100,94.2,5.8,100,77.2,22.8
Distrito Federal,100,90.7,9.3,100,97,3,100,82.9,17.1
