"tabela 1.3.28.2 - distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por classes de rendimento mensal, segundo as grandes regiões, as unidades da federação e as regiões metropolitanas - 2015",unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,unnamed: 15,unnamed: 16,unnamed: 17,unnamed: 18,unnamed: 19,"tabela 1.3.28.3 - percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de pessoas de 10 anos ou mais de idade, por classes de rendimento mensal, segundo as grandes regiões, as unidades da federação e as regiões metropolitanas - 2015",unnamed: 21,unnamed: 22,unnamed: 23,unnamed: 24,unnamed: 25,unnamed: 26,unnamed: 27,unnamed: 28,unnamed: 29
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal (%),,,,,,,,,"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas","Percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de pessoas de 10 anos ou mais de idade (%)",,,,,,,,
,Total (1),Classes de rendimento mensal (salário mínimo),,,,,,,,,Total (1),Classes de rendimento mensal (salário mínimo),,,,,,,
,,Sem rendi-mento (2),Até 1/2,Mais de 1/2 a 1,Mais de 1 a 2,Mais de 2 a 3,Mais de 3 a 5,Mais de 5 a 10,Mais de 10,,,Sem rendi-mento (2),Até 1/2,Mais de 1/2 a 1,Mais de 1 a 2,Mais de 2 a 3,Mais de 3 a 5,Mais de 5 a 10,Mais de 10
Brasil,100,27.2,6,5.1,31.2,13.4,8.4,5.1,2.4,Brasil,78.3,72.4,67.9,76.7,75.9,87,93.2,95.8,97.3
Norte,100,30.3,8.6,7.9,31.7,10,6.1,3.6,1.2,Norte,68.6,60,60.2,65.3,71.5,83.2,92.4,94.5,95.9
Rondônia,100,29.1,5.8,5.5,31.9,13.2,8.4,4.2,1.5,Rondônia,75.9,69.3,67.4,78.5,74,85.7,90.1,95.6,96.9
Acre,100,30.1,10.5,7.3,31.8,8.8,5.8,4.3,1.2,Acre,69.2,57.6,66.3,67.3,75.2,83.8,90.2,95.7,100
Amazonas,100,33.9,7.3,6.9,30,10.2,6.4,3.7,1.3,Amazonas,68.9,60.8,54.6,61,74.1,86.6,95,96.6,95.8
Roraima,100,26.9,8.1,6.4,31.1,11.2,7.4,6,2.2,Roraima,74.8,64.5,66.3,72.6,75.7,91.4,94.9,92,94.3
Pará,100,29.7,10.1,9.5,32.1,9.1,5,3,0.9,Pará,64.5,55.9,58.6,63.3,67.7,78.3,90.3,92.3,94.7
Região Metropolitana de Belém,100,29.7,7.4,8,34.3,8.6,5.2,4.4,1.6,Região Metropolitana de Belém,82.8,76.4,80.8,86.7,82.3,92.5,96,96.6,97.7
Amapá,100,31,6.7,6.8,30.8,9.8,9.3,4.4,1.3,Amapá,72.6,62.2,62.8,64.6,78.1,85.7,96.4,93.7,100
Tocantins,100,27.3,8.7,6.4,34.3,9.9,6.1,4.2,1.7,Tocantins,77,69,72.2,79.9,76.1,89,95.3,97.6,95.8
Nordeste,100,29,12.9,8.5,32.9,7.8,4.6,2.7,1.1,Nordeste,69.6,64.2,64,72.8,69.5,80.4,94.6,95.7,97
Maranhão,100,29.5,15.5,8.9,29.8,8,3.8,2.7,1.4,Maranhão,54.7,47.7,48.1,57.5,57.4,71.8,87.2,95.7,93.3
Piauí,100,26.8,15.2,9.6,31.9,8,4.4,3,0.9,Piauí,68.4,61,62.7,71.9,69.8,81.3,94.2,94.3,100
Ceará,100,29.9,12.2,8.3,33.9,7.3,4.2,2.2,0.9,Ceará,67.6,63.6,61.8,71.4,66.7,76.6,94.7,96.2,99.2
Região Metropolitana de Fortaleza,100,28.6,7.7,6.8,37.3,9,5.3,2.9,1.3,Região Metropolitana de Fortaleza,81.6,75.4,77.7,85.6,81.8,89.7,96.7,96.2,99
Rio Grande do Norte,100,30.2,11,6.9,32.2,8.4,6.1,3.5,1.3,Rio Grande do Norte,75.6,73.1,67.6,77.5,73.6,83,96.5,96.6,95.5
Paraíba,100,27.9,14.7,8.3,31.4,7.5,5.3,3.1,1.6,Paraíba,76.4,72.7,75.2,78.3,73.8,82.5,95.1,96.1,100
Pernambuco,100,31.3,11.4,7.7,33,7.9,4.2,2.7,1.4,Pernambuco,73.7,70.3,68.9,76.4,71.9,85.4,93.9,94.9,97.8
Região Metropolitana de Recife,100,31.7,8.6,6.1,33.6,9.4,5.2,3.2,2,Região Metropolitana de Recife,84.6,82.3,83.6,90.6,81.7,91.5,93.2,95.3,96.8
Alagoas,100,31.5,12.9,7.2,33.7,6.8,4.2,2.7,0.6,Alagoas,67.2,61.9,63.6,75.2,66.3,80.3,97,95.3,94.4
Sergipe,100,28.2,14.6,8.4,32.5,7.6,4.5,2.6,0.9,Sergipe,76.4,72,74.6,76.2,75.3,87.8,94.8,92.2,100
Bahia,100,26.8,12.7,9.3,33.9,8.1,4.8,2.8,1.1,Bahia,71.3,64.3,66,75.1,71.9,80.4,95.9,96.6,95.6
Região Metropolitana de Salvador,100,26,7.3,7.1,36,10.1,6.5,4.5,2,Região Metropolitana de Salvador,87.9,81.8,85.2,91.6,87.9,93.4,97,98.6,98.9
Sudeste,100,27.4,3.3,3.5,30.4,15.3,9.7,5.8,2.9,Sudeste,82.6,78.3,76.6,82.6,78.4,88.2,92.6,95.7,97.2
Minas Gerais,100,26.7,5,4.6,35.5,13.2,7.6,4.6,2.3,Minas Gerais,79.8,74.9,73.1,81.8,77.3,86.1,93.6,95.9,96.6
Região Metropolitana de Belo Horizonte,100,26,3,3.6,33.4,14.2,9.2,6.2,3.6,Região Metropolitana de Belo Horizonte,87.2,81.2,84.4,89.6,85.8,91.6,94.9,97.4,97.3
Espírito Santo,100,27.2,4.6,4.8,32.7,13.7,8.6,4.7,2.3,Espírito Santo,81.1,74.2,74.7,81.4,79.3,88.7,93.9,96.9,97.3
Rio de Janeiro,100,28.3,3,3.6,31,14.5,8.9,5.8,3.3,Rio de Janeiro,83.1,80.6,74.8,79,78.7,88.1,92.4,94.7,97.5
Região Metropolitana do Rio de Janeiro,100,28,2.8,3.5,29.6,15.1,9.3,6.3,3.8,Região Metropolitana do Rio de Janeiro,84.3,82,73.8,81.4,79.3,89.2,93.6,95.1,97.3
São Paulo,100,27.4,2.6,2.8,27.6,16.6,11,6.4,3.1,São Paulo,83.9,79.3,81.2,85.3,78.8,89.1,92.4,95.9,97.3
Região Metropolitana de São Paulo,100,28.3,2.5,2.6,25.9,15.9,10.8,7.2,4,Região Metropolitana de São Paulo,85.1,80.6,80.8,83.3,79.9,90.5,93,97,98
Sul,100,23.1,3,3.8,30.8,17.8,11.2,6.5,2.6,Sul,82.8,76.7,75.7,84.7,79,87.8,93.1,95.5,96.8
Paraná,100,24.7,3.2,4,30.5,16.7,10.7,6.5,2.8,Paraná,81.5,74.9,72.1,82.4,77.1,88.1,95.3,96.5,97.3
Região Metropolitana de Curitiba,100,25.2,1.8,2.7,26.2,18.3,12.8,8.1,4.2,Região Metropolitana de Curitiba,84.3,76.6,72.5,85.6,80.1,88.7,96.1,97.3,97
Santa Catarina,100,22,1.7,2.8,27.7,21.1,13.7,7.2,2.5,Santa Catarina,81,75.3,70.8,81.4,74.6,86.2,91.8,94.6,95.6
Rio Grande do Sul,100,22.1,3.7,4.3,33,16.9,10.3,6.2,2.5,Rio Grande do Sul,85.2,79.7,80.3,88.1,83.1,88.7,92,95.1,97.1
Região Metropolitana de Porto Alegre,100,22.7,2.6,3.2,32,16.6,10.8,6.6,3.6,Região Metropolitana de Porto Alegre,88.9,82.6,86.1,87.9,87.5,93.3,94.9,96.7,96.5
Centro-Oeste,100,26.3,4,3.9,31.2,14.9,9.1,6.4,3.5,Centro-Oeste,86.9,81,81.3,88.4,84.8,92.3,95.8,98,98.7
Mato Grosso do Sul,100,24.1,4.7,4.3,32.9,14.9,9.7,6.6,2.8,Mato Grosso do Sul,86.7,79.8,78.4,88.1,85.1,92.5,96.9,98.7,99.2
Mato Grosso,100,25.9,4.6,3.7,31.2,16.2,9.8,5.3,2.1,Mato Grosso,83.3,76.5,79.7,83.5,79.9,91.3,95,98.2,99.1
Goiás,100,26.4,4.2,4.3,34.1,15.4,8.6,4.7,1.5,Goiás,87,81.5,83,89.5,85.8,92.1,95.8,97.6,98.3
Distrito Federal,100,28.3,2.3,3,23.6,12.5,9,10.9,9.9,Distrito Federal,90.7,85.3,83,92.2,88.6,94,95.8,97.9,98.6
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,,
