"tabela 1.3.3.2 - distribuição das pessoas de 10 anos ou mais de idade, por grandes regiões, segundo a situação do domicílio, o sexo e a posse de telefone móvel celular para uso pessoal - 2015",unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13
"Situação do domicílio,sexo e posse de telefone móvel celular para uso pessoal",Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,100,100,100,100,100,100
Possuíam,78.3,68.6,69.6,82.6,82.8,86.9
Não possuíam,21.7,31.4,30.4,17.4,17.2,13.1
Homens,100,100,100,100,100,100
Possuíam,77.6,66.5,67.3,82.9,83.5,86.7
Não possuíam,22.4,33.5,32.7,17.1,16.5,13.3
Mulheres,100,100,100,100,100,100
Possuíam,78.9,70.7,71.7,82.3,82.3,87
Não possuíam,21.1,29.3,28.3,17.7,17.7,13
Urbana,100,100,100,100,100,100
Possuíam,82.8,78.1,78.1,84,85.5,88.5
Não possuíam,17.2,21.9,21.9,16,14.5,11.5
Homens,100,100,100,100,100,100
Possuíam,82.6,76.6,76.9,84.4,85.9,88.3
Não possuíam,17.4,23.4,23.1,15.6,14.1,11.7
Mulheres,100,100,100,100,100,100
Possuíam,82.9,79.6,79.2,83.7,85.1,88.6
Não possuíam,17.1,20.4,20.8,16.3,14.9,11.4
Rural,100,100,100,100,100,100
Possuíam,52.8,39.1,46,63.6,67.2,72.8
Não possuíam,47.2,60.9,54,36.4,32.8,27.2
Homens,100,100,100,100,100,100
Possuíam,52.1,38.1,43.2,64.8,70.4,74.2
Não possuíam,47.9,61.9,56.8,35.2,29.6,25.8
Mulheres,100,100,100,100,100,100
Possuíam,53.5,40.2,49,62.2,63.6,71.2
Não possuíam,46.5,59.8,51,37.8,36.4,28.8
