"tabela 1.3.5.2 - distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal, por grandes regiões, segundo o sexo e os grupos de anos de estudo - 2015",unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13
Sexo e grupos de anos de estudo,Distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal (%),,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,100,100,100,100,100,100
Sem instrução e menos de 1 ano,23.2,18.7,30.4,18.8,17.2,23.2
1 a 3 anos,22.7,25,24.2,20.3,22.6,23.8
4 a 7 anos,33.2,34.4,28.9,35.9,38.5,33.5
8 a 10 anos,10.9,12.7,9.3,12.2,10.9,10.4
11 a 14 anos,8.3,8,6.3,10.7,8.8,7.6
15 anos ou mais,1.4,0.8,0.7,2.2,1.8,1.4
Não determinados,0.1,0.3,0.2,0,0.1,0.1
Homens,100,100,100,100,100,100
Sem instrução e menos de 1 ano,23,19.1,31.6,16.7,15.1,22.1
1 a 3 anos,24,26.9,25.2,21.6,23,25.5
4 a 7 anos,33.6,33.9,29.1,36.7,39.6,34.6
8 a 10 anos,10.8,12.2,8.7,12.4,12,10.5
11 a 14 anos,7.4,7,4.8,10.5,8.7,6.3
15 anos ou mais,1.1,0.6,0.5,2,1.5,0.9
Não determinados,0.1,0.3,0.2,0,0.1,0.1
Mulheres,100,100,100,100,100,100
Sem instrução e menos de 1 ano,23.5,18.2,29.2,20.7,19.1,24.2
1 a 3 anos,21.5,22.8,23.1,19.1,22.3,22.2
4 a 7 anos,32.9,35,28.7,35.1,37.6,32.4
8 a 10 anos,11.1,13.3,10,12,9.9,10.3
11 a 14 anos,9.2,9.2,7.9,10.8,8.9,8.8
15 anos ou mais,1.6,1.1,0.9,2.3,2.1,1.8
Não determinados,0.1,0.4,0.2,0.1,0.1,0.2
