"tabela 1.3.8.2 - distribuição das pessoas de 10 anos ou mais de idade, por grandes regiões, segundo o sexo, a condição de estudante, a rede de ensino que frequentavam e a posse de telefone móvel celular para uso pessoal - 2015",unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13
"Sexo, condição de estudante, rede de ensino que frequentavam e posse de telefone móvel celular para uso pessoal",Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,100,100,100,100,100,100
Possuíam,78.3,68.6,69.6,82.6,82.8,86.9
Não possuíam,21.7,31.4,30.4,17.4,17.2,13.1
Estudantes,100,100,100,100,100,100
Possuíam,74,59.4,65,80.7,81,82.2
Não possuíam,26,40.6,35,19.3,19,17.8
Rede pública,100,100,100,100,100,100
Possuíam,67.2,53,58.3,74.9,74.7,76.4
Não possuíam,32.8,47,41.7,25.1,25.3,23.6
Rede privada,100,100,100,100,100,100
Possuíam,93.7,91.8,90,94.6,96.5,95.9
Não possuíam,6.3,8.2,10,5.4,3.5,4.1
Não estudantes,100,100,100,100,100,100
Possuíam,79.4,71.8,70.9,83,83.3,88.2
Não possuíam,20.6,28.2,29.1,17,16.7,11.8
Homens,100,100,100,100,100,100
Possuíam,77.6,66.5,67.3,82.9,83.5,86.7
Não possuíam,22.4,33.5,32.7,17.1,16.5,13.3
Estudantes,100,100,100,100,100,100
Possuíam,70.7,55.8,60.9,78,78,80
Não possuíam,29.3,44.2,39.1,22,22,20
Rede pública,100,100,100,100,100,100
Possuíam,64.1,49.9,54.7,72.1,71.8,74.7
Não possuíam,35.9,50.1,45.3,27.9,28.2,25.3
Rede privada,100,100,100,100,100,100
Possuíam,92.2,91.4,87.5,93.3,95.3,94.7
Não possuíam,7.8,8.6,12.5,6.7,4.7,5.3
Não estudantes,100,100,100,100,100,100
Possuíam,79.5,70.1,69.2,84.1,84.7,88.6
Não possuíam,20.5,29.9,30.8,15.9,15.3,11.4
Mulheres,100,100,100,100,100,100
Possuíam,78.9,70.7,71.7,82.3,82.3,87
Não possuíam,21.1,29.3,28.3,17.7,17.7,13
Estudantes,100,100,100,100,100,100
Possuíam,77.1,63,68.9,83.3,83.8,84.4
Não possuíam,22.9,37,31.1,16.7,16.2,15.6
Rede pública,100,100,100,100,100,100
Possuíam,70.3,56.2,61.9,77.7,77.8,78.2
Não possuíam,29.7,43.8,38.1,22.3,22.2,21.8
Rede privada,100,100,100,100,100,100
Possuíam,94.9,92.2,92,95.8,97.4,96.8
Não possuíam,5.1,7.8,8,4.2,2.6,3.2
Não estudantes,100,100,100,100,100,100
Possuíam,79.3,73.5,72.5,82.1,81.9,87.8
Não possuíam,20.7,26.5,27.5,17.9,18.1,12.2
