"tabela 1.3.9.2 - distribuição das pessoas de 10 anos ou mais de idade, por grandes regiões, segundo o sexo, a condição de atividade na semana de referência e a posse de telefone móvel celular para uso pessoal - 2015",unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13
"Sexo, condição de atividade na semana de referência e posse de telefone móvel celular para uso pessoal",Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,100,100,100,100,100,100
Possuíam,78.3,68.6,69.6,82.6,82.8,86.9
Não possuíam,21.7,31.4,30.4,17.4,17.2,13.1
Economicamente ativas,100,100,100,100,100,100
Possuíam,87.4,77.2,79.3,91.6,91,93.9
Não possuíam,12.6,22.8,20.7,8.4,9,6.1
Não economicamente ativas,100,100,100,100,100,100
Possuíam,64.9,57.1,57.6,68.6,69.2,75.4
Não possuíam,35.1,42.9,42.4,31.4,30.8,24.6
Homens,100,100,100,100,100,100
Possuíam,77.6,66.5,67.3,82.9,83.5,86.7
Não possuíam,22.4,33.5,32.7,17.1,16.5,13.3
Economicamente ativos,100,100,100,100,100,100
Possuíam,85.3,73.8,75.5,90.4,90.3,93
Não possuíam,14.7,26.2,24.5,9.6,9.7,7
Não economicamente ativos,100,100,100,100,100,100
Possuíam,60.1,50.3,51,65.1,66.3,70.5
Não possuíam,39.9,49.7,49,34.9,33.7,29.5
Mulheres,100,100,100,100,100,100
Possuíam,78.9,70.7,71.7,82.3,82.3,87
Não possuíam,21.1,29.3,28.3,17.7,17.7,13
Economicamente ativas,100,100,100,100,100,100
Possuíam,90.1,82.5,84.3,93.1,91.9,95.1
Não possuíam,9.9,17.5,15.7,6.9,8.1,4.9
Não economicamente ativas,100,100,100,100,100,100
Possuíam,67.6,61,61.3,70.6,70.9,78.1
Não possuíam,32.4,39,38.7,29.4,29.1,21.9
