"tabela 1.3.1.1 -  pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por grandes regiões, segundo o sexo e os grupos de idade - 2015",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6
Sexo e grupos de idade,Pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal (1000 pessoas),,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,139056.623,9971.309,33690.204,62454.999,21350.453,11589.658
10 a 14 anos,8585.657,617.362,2196.998,3770.711,1226.242,774.344
15 a 17 anos,8612.456,707.735,2352.576,3600.928,1252.547,698.67
18 ou 19 anos,5952.813,485.535,1644.528,2532.815,816.101,473.834
20 a 24 anos,13969.832,1164.433,3668.918,5941.84,2034.436,1160.205
25 a 29 anos,13710.346,1124.379,3579.42,5893.963,1965.04,1147.544
30 a 34 anos,14547.369,1129.824,3656.223,6420.495,2124.064,1216.763
35 a 39 anos,13851.002,1053.765,3390.021,6227.73,1972.831,1206.655
40 a 44 anos,12565.01,885.492,2905.866,5800.47,1897.433,1075.749
45 a 49 anos,11461.374,752.195,2649.971,5224.138,1836.27,998.8
50 a 54 anos,10670.801,656.322,2301.301,5045.793,1815.905,851.48
55 a 59 anos,8502.001,479.527,1786.084,4053.64,1514.247,668.503
60 anos ou mais,16627.962,914.74,3558.298,7942.476,2895.337,1317.111
Homens,66382.262,4839.104,15596.382,29885.629,10435.953,5625.194
10 a 14 anos,4084.091,288.809,1052.8,1783.389,573.237,385.856
15 a 17 anos,4233.5,352.922,1130.741,1741.885,649.937,358.015
18 ou 19 anos,2971.094,239.374,799.232,1270.475,408.564,253.449
20 a 24 anos,6998.122,584.642,1790.095,3002.363,1032.669,588.353
25 a 29 anos,6676.503,536.546,1710.611,2903.667,980.77,544.909
30 a 34 anos,6951.272,548.73,1711.647,3046.557,1060.825,583.513
35 a 39 anos,6574.364,499.818,1548.152,2973.35,975.386,577.658
40 a 44 anos,5978.603,427.528,1325.158,2788.29,926.099,511.528
45 a 49 anos,5414.158,368.977,1206.57,2487.999,876.724,473.888
50 a 54 anos,4934.865,302.147,1022.213,2351.114,864.426,394.965
55 a 59 anos,3934.335,238.921,788.302,1872.824,717.126,317.162
60 anos ou mais,7631.355,450.69,1510.861,3663.716,1370.19,635.898
Mulheres,72674.361,5132.205,18093.822,32569.37,10914.5,5964.464
10 a 14 anos,4501.566,328.553,1144.198,1987.322,653.005,388.488
15 a 17 anos,4378.956,354.813,1221.835,1859.043,602.61,340.655
18 ou 19 anos,2981.719,246.161,845.296,1262.34,407.537,220.385
20 a 24 anos,6971.71,579.791,1878.823,2939.477,1001.767,571.852
25 a 29 anos,7033.843,587.833,1868.809,2990.296,984.27,602.635
30 a 34 anos,7596.097,581.094,1944.576,3373.938,1063.239,633.25
35 a 39 anos,7276.638,553.947,1841.869,3254.38,997.445,628.997
40 a 44 anos,6586.407,457.964,1580.708,3012.18,971.334,564.221
45 a 49 anos,6047.216,383.218,1443.401,2736.139,959.546,524.912
50 a 54 anos,5735.936,354.175,1279.088,2694.679,951.479,456.515
55 a 59 anos,4567.666,240.606,997.782,2180.816,797.121,351.341
60 anos ou mais,8996.607,464.05,2047.437,4278.76,1525.147,681.213
