"tabela 1.3.10.1 - pessoas de 10 anos ou mais de idade, por grandes regiões, segundo o sexo, a situação de ocupação na semana de referência e a posse de telefone móvel celular para uso pessoal - 2015",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6
"Sexo, situação de ocupação na semana de referência e posse de telefone móvel celular para uso pessoal",Pessoas de 10 anos ou mais de idade (1000 pessoas),,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,177656.822,14536.868,48409.904,75598.609,25771.8,13339.641
Possuíam,139056.623,9971.309,33690.204,62454.999,21350.453,11589.658
Não possuíam,38600.199,4565.559,14719.7,13143.61,4421.347,1749.983
Ocupadas,95380.483,7558.802,24128.791,41055.581,14995.082,7642.227
Possuíam,83200.334,5780.694,18944.665,37646.322,13653.515,7175.138
Não possuíam,12180.149,1778.108,5184.126,3409.259,1341.567,467.089
Não ocupadas,82276.339,6978.066,24281.113,34543.028,10776.718,5697.414
Possuíam,55856.289,4190.615,14745.539,24808.677,7696.938,4414.52
Não possuíam,26420.05,2787.451,9535.574,9734.351,3079.78,1282.894
Homens,85489.399,7280.589,23181.632,36038.002,12501.919,6487.257
Possuíam,66382.262,4839.104,15596.382,29885.629,10435.953,5625.194
Não possuíam,19107.137,2441.485,7585.25,6152.373,2065.966,862.063
Ocupados,54704.323,4691.909,14127.747,23051.396,8441.632,4391.639
Possuíam,46650.551,3437.59,10583.509,20901.675,7639.368,4088.409
Não possuíam,8053.772,1254.319,3544.238,2149.721,802.264,303.23
Não ocupados,30785.076,2588.68,9053.885,12986.606,4060.287,2095.618
Possuíam,19731.711,1401.514,5012.873,8983.954,2796.585,1536.785
Não possuíam,11053.365,1187.166,4041.012,4002.652,1263.702,558.833
Mulheres,92167.423,7256.279,25228.272,39560.607,13269.881,6852.384
Possuíam,72674.361,5132.205,18093.822,32569.37,10914.5,5964.464
Não possuíam,19493.062,2124.074,7134.45,6991.237,2355.381,887.92
Ocupadas,40676.16,2866.893,10001.044,18004.185,6553.45,3250.588
Possuíam,36549.783,2343.104,8361.156,16744.647,6014.147,3086.729
Não possuíam,4126.377,523.789,1639.888,1259.538,539.303,163.859
Não ocupadas,51491.263,4389.386,15227.228,21556.422,6716.431,3601.796
Possuíam,36124.578,2789.101,9732.666,15824.723,4900.353,2877.735
Não possuíam,15366.685,1600.285,5494.562,5731.699,1816.078,724.061
