"tabela 1.3.12.1 - pessoas de 10 anos ou mais de idade que não eram estudantes, por grandes regiões, segundo o sexo, a situação de ocupação na semana de referência e a posse de telefone móvel celular para uso pessoal - 2015",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6
"Sexo, situação de ocupação na semana de referência e posse de telefone móvel celular para uso pessoal",Pessoas de 10 anos ou mais de idade que não eram estudantes (1000 pessoas),,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,141349.303,10779.063,37597.948,61560.556,20990.591,10421.145
Possuíam,73119.45,4378.854,14390.419,36828.288,11541.728,5980.161
Não possuíam,68229.853,6400.209,23207.529,24732.268,9448.863,4440.984
Ocupadas,86971.959,6727.689,21889.074,37856.226,13634.683,6864.287
Possuíam,53138.732,3111.073,10038.148,26610.415,8855.481,4523.615
Não possuíam,33833.227,3616.616,11850.926,11245.811,4779.202,2340.672
Não ocupadas,54377.344,4051.374,15708.874,23704.33,7355.908,3556.858
Possuíam,19980.718,1267.781,4352.271,10217.873,2686.247,1456.546
Não possuíam,34396.626,2783.593,11356.603,13486.457,4669.661,2100.312
Homens,67675.241,5417.117,17851.962,29199.82,10137.36,5068.982
Possuíam,34668.02,2090.196,6604.437,17526.954,5596.239,2850.194
Não possuíam,33007.221,3326.921,11247.525,11672.866,4541.121,2218.788
Ocupados,50260.793,4207.742,12918.664,21388.822,7746.25,3999.315
Possuíam,28722.169,1756.643,5317.179,14376.485,4801.572,2470.29
Não possuíam,21538.624,2451.099,7601.485,7012.337,2944.678,1529.025
Não ocupados,17414.448,1209.375,4933.298,7810.998,2391.11,1069.667
Possuíam,5945.851,333.553,1287.258,3150.469,794.667,379.904
Não possuíam,11468.597,875.822,3646.04,4660.529,1596.443,689.763
Mulheres,73674.062,5361.946,19745.986,32360.736,10853.231,5352.163
Possuíam,38451.43,2288.658,7785.982,19301.334,5945.489,3129.967
Não possuíam,35222.632,3073.288,11960.004,13059.402,4907.742,2222.196
Ocupadas,36711.166,2519.947,8970.41,16467.404,5888.433,2864.972
Possuíam,24416.563,1354.43,4720.969,12233.93,4053.909,2053.325
Não possuíam,12294.603,1165.517,4249.441,4233.474,1834.524,811.647
Não ocupadas,36962.896,2841.999,10775.576,15893.332,4964.798,2487.191
Possuíam,14034.867,934.228,3065.013,7067.404,1891.58,1076.642
Não possuíam,22928.029,1907.771,7710.563,8825.928,3073.218,1410.549
