"tabela 1.3.13.1 - pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por grandes regiões, segundo a posse de telefone móvel celular para uso pessoal e os grupamentos ocupacionais no trabalho principal - 2015",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6
Posse de telefone móvel celular para uso pessoal e grupamentos ocupacionais no trabalho principal,"Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência (1000 pessoas)",,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,95380.483,7558.802,24128.791,41055.581,14995.082,7642.227
Dirigentes em geral,4724.679,257.029,819.055,2336.161,911.922,400.512
Profissionais das ciências e das artes,9372.513,567.399,1734.33,4690.25,1562.387,818.147
Técnicos de nível médio,6833.88,424.335,1387.265,3348.889,1129.955,543.436
Trabalhadores de serviços administrativos,8994.499,564.632,1725.868,4483.374,1460.952,759.673
Trabalhadores dos serviços,19256.064,1375.774,4612.061,9017.1,2606.104,1645.025
Vendedores e prestadores de serviço do comércio,9323.097,869.834,2725.4,3780.051,1205.832,741.98
Trabalhadores agrícolas,13312.12,1694.254,5771.19,3022.278,1978.134,846.264
Trabalhadores da produção de bens e serviços e de reparação e manutenção,22701.123,1726.294,5175.096,9985.832,4031.791,1782.11
Membros das forças armadas e auxiliares,843.332,78.981,176.749,378.023,104.499,105.08
Ocupações maldefinidas,19.176,0.27,1.777,13.623,3.506,-
Possuíam,83200.334,5780.694,18944.665,37646.322,13653.515,7175.138
Dirigentes em geral,4593.822,245.167,783.556,2278.608,892.316,394.175
Profissionais das ciências e das artes,9139.184,532.374,1663.918,4600.048,1533.536,809.308
Técnicos de nível médio,6619.689,392.58,1315.402,3274.669,1100.708,536.33
Trabalhadores de serviços administrativos,8752.408,545.255,1681.174,4355.373,1423.152,747.454
Trabalhadores dos serviços,17194.817,1152.359,3981.122,8135.875,2383.628,1541.833
Vendedores e prestadores de serviço do comércio,8554.918,733.65,2403.501,3554.57,1151.544,711.653
Trabalhadores agrícolas,7390.958,728.332,2629.469,1996.689,1377.266,659.202
Trabalhadores da produção de bens e serviços e de reparação e manutenção,20105.933,1373.572,4311.168,9065.494,3685.271,1670.428
Membros das forças armadas e auxiliares,831.855,77.135,174.329,373.048,102.588,104.755
Ocupações maldefinidas,16.75,0.27,1.026,11.948,3.506,-
Não possuíam,12180.149,1778.108,5184.126,3409.259,1341.567,467.089
Dirigentes em geral,130.857,11.862,35.499,57.553,19.606,6.337
Profissionais das ciências e das artes,233.329,35.025,70.412,90.202,28.851,8.839
Técnicos de nível médio,214.191,31.755,71.863,74.22,29.247,7.106
Trabalhadores de serviços administrativos,242.091,19.377,44.694,128.001,37.8,12.219
Trabalhadores dos serviços,2061.247,223.415,630.939,881.225,222.476,103.192
Vendedores e prestadores de serviço do comércio,768.179,136.184,321.899,225.481,54.288,30.327
Trabalhadores agrícolas,5921.162,965.922,3141.721,1025.589,600.868,187.062
Trabalhadores da produção de bens e serviços e de reparação e manutenção,2595.19,352.722,863.928,920.338,346.52,111.682
Membros das forças armadas e auxiliares,11.477,1.846,2.42,4.975,1.911,0.325
Ocupações maldefinidas,2.426,-,0.751,1.675,-,-
