"tabela 1.3.2.1 -  pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal, por grandes regiões, segundo o sexo e os grupos de idade - 2015",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6
Sexo e grupos de idade,Pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal (1000 pessoas),,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,38600.199,4565.559,14719.7,13143.61,4421.347,1749.983
10 a 14 anos,7278.792,1073.373,2842.219,2157.745,767.003,438.452
15 a 17 anos,2025.156,380.809,897.797,515.743,151.248,79.559
18 ou 19 anos,888.544,159.856,399.119,232.612,64.918,32.039
20 a 24 anos,1621.028,308.956,733.826,378.139,132.354,67.753
25 a 29 anos,1565.231,270.04,745.968,380.828,110.14,58.255
30 a 34 anos,1733.313,282.715,794.391,437.684,145.314,73.209
35 a 39 anos,1906.937,292.684,879.005,492.535,165.741,76.972
40 a 44 anos,1971.408,261.768,856.763,569.001,202.655,81.221
45 a 49 anos,2146.055,237.86,863.176,701.46,254.767,88.792
50 a 54 anos,2317.492,228.209,870.339,817.747,319.383,81.814
55 a 59 anos,2400.235,214.609,813.167,940.111,328.646,103.702
60 anos ou mais,12746.008,854.68,4023.93,5520.005,1779.178,568.215
Homens,19107.137,2441.485,7585.25,6152.373,2065.966,862.063
10 a 14 anos,4019.324,580.444,1557.879,1207.792,431.208,242.001
15 a 17 anos,1190.092,210.157,533.853,307.895,95.378,42.809
18 ou 19 anos,516.552,91.697,231.141,142.654,32.622,18.438
20 a 24 anos,957.231,180.674,412.714,246.752,80.238,36.853
25 a 29 anos,849.685,137.188,401.158,216.581,63.866,30.892
30 a 34 anos,947.723,152.01,442.081,235.994,77.356,40.282
35 a 39 anos,989.246,152.197,471.467,252.472,73.496,39.614
40 a 44 anos,1002.64,140.541,434.135,293.624,95.76,38.58
45 a 49 anos,1077.975,129.67,460.595,324.972,115.058,47.68
50 a 54 anos,1138.186,127.247,429.652,400.943,140.464,39.88
55 a 59 anos,1104.377,113.992,401.677,392.779,151.493,44.436
60 anos ou mais,5314.106,425.668,1808.898,2129.915,709.027,240.598
Mulheres,19493.062,2124.074,7134.45,6991.237,2355.381,887.92
10 a 14 anos,3259.468,492.929,1284.34,949.953,335.795,196.451
15 a 17 anos,835.064,170.652,363.944,207.848,55.87,36.75
18 ou 19 anos,371.992,68.159,167.978,89.958,32.296,13.601
20 a 24 anos,663.797,128.282,321.112,131.387,52.116,30.9
25 a 29 anos,715.546,132.852,344.81,164.247,46.274,27.363
30 a 34 anos,785.59,130.705,352.31,201.69,67.958,32.927
35 a 39 anos,917.691,140.487,407.538,240.063,92.245,37.358
40 a 44 anos,968.768,121.227,422.628,275.377,106.895,42.641
45 a 49 anos,1068.08,108.19,402.581,376.488,139.709,41.112
50 a 54 anos,1179.306,100.962,440.687,416.804,178.919,41.934
55 a 59 anos,1295.858,100.617,411.49,547.332,177.153,59.266
60 anos ou mais,7431.902,429.012,2215.032,3390.09,1070.151,327.617
