"tabela 1.3.3.1 - pessoas de 10 anos ou mais de idade, por grandes regiões, segundo a situação do domicílio, o sexo e a posse de telefone móvel celular para uso pessoal - 2015",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6
"Situação do domicílio,sexo e posse de telefone móvel celular para uso pessoal",Pessoas de 10 anos ou mais de idade (1000 pessoas),,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,177656.822,14536.868,48409.904,75598.609,25771.8,13339.641
Possuíam,139056.623,9971.309,33690.204,62454.999,21350.453,11589.658
Não possuíam,38600.199,4565.559,14719.7,13143.61,4421.347,1749.983
Homens,85489.399,7280.589,23181.632,36038.002,12501.919,6487.257
Possuíam,66382.262,4839.104,15596.382,29885.629,10435.953,5625.194
Não possuíam,19107.137,2441.485,7585.25,6152.373,2065.966,862.063
Mulheres,92167.423,7256.279,25228.272,39560.607,13269.881,6852.384
Possuíam,72674.361,5132.205,18093.822,32569.37,10914.5,5964.464
Não possuíam,19493.062,2124.074,7134.45,6991.237,2355.381,887.92
Urbana,150985.43,10984.571,35540.011,70444.333,22018.341,11998.174
Possuíam,124971.293,8583.745,27766.719,59179.449,18828.559,10612.821
Não possuíam,26014.137,2400.826,7773.292,11264.884,3189.782,1385.353
Homens,71513.929,5360.132,16538.736,33330.111,10522.403,5762.547
Possuíam,59094.464,4107.634,12725.447,28131.647,9042.334,5087.402
Não possuíam,12419.465,1252.498,3813.289,5198.464,1480.069,675.145
Mulheres,79471.501,5624.439,19001.275,37114.222,11495.938,6235.627
Possuíam,65876.829,4476.111,15041.272,31047.802,9786.225,5525.419
Não possuíam,13594.672,1148.328,3960.003,6066.42,1709.713,710.208
Rural,26671.392,3552.297,12869.893,5154.276,3753.459,1341.467
Possuíam,14085.33,1387.564,5923.485,3275.55,2521.894,976.837
Não possuíam,12586.062,2164.733,6946.408,1878.726,1231.565,364.63
Homens,13975.47,1920.457,6642.896,2707.891,1979.516,724.71
Possuíam,7287.798,731.47,2870.935,1753.982,1393.619,537.792
Não possuíam,6687.672,1188.987,3771.961,953.909,585.897,186.918
Mulheres,12695.922,1631.84,6226.997,2446.385,1773.943,616.757
Possuíam,6797.532,656.094,3052.55,1521.568,1128.275,439.045
Não possuíam,5898.39,975.746,3174.447,924.817,645.668,177.712
