"tabela 1.3.4.1 - pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por grandes regiões, segundo o sexo e os grupos de anos de estudo - 2015",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6
Sexo e grupos de anos de estudo,Pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal (1000 pessoas),,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,139056.623,9971.309,33690.204,62454.999,21350.453,11589.658
Sem instrução e menos de 1 ano,6099.672,496.351,2425.092,1885.587,729.403,563.239
1 a 3 anos,9227.951,756.017,2999.867,3395.203,1298.642,778.222
4 a 7 anos,31115.862,2200.337,8049.315,13126.187,5137.833,2602.19
8 a 10 anos,26389.904,2062.413,6169.278,11801.195,4205.231,2151.787
11 a 14 anos,48893.007,3497.204,11121.593,23405.654,7033.859,3834.697
15 anos ou mais,17167.68,941.559,2873.186,8804.64,2901.967,1646.328
Não determinados,162.547,17.428,51.873,36.533,43.518,13.195
Homens,66382.262,4839.104,15596.382,29885.629,10435.953,5625.194
Sem instrução e menos de 1 ano,3020.704,262.874,1232.784,900.42,341.353,283.273
1 a 3 anos,4682.563,424.072,1543.557,1645.204,649.143,420.587
4 a 7 anos,15725.678,1134.918,3993.939,6608.062,2624.974,1363.785
8 a 10 anos,13204.452,1026.393,2971.301,5900.705,2183.01,1123.043
11 a 14 anos,22523.091,1606.634,4798.059,10953.998,3418.947,1745.453
15 anos ou mais,7143.576,375.796,1030.394,3857.858,1195.431,684.097
Não determinados,82.198,8.417,26.348,19.382,23.095,4.956
Mulheres,72674.361,5132.205,18093.822,32569.37,10914.5,5964.464
Sem instrução e menos de 1 ano,3078.968,233.477,1192.308,985.167,388.05,279.966
1 a 3 anos,4545.388,331.945,1456.31,1749.999,649.499,357.635
4 a 7 anos,15390.184,1065.419,4055.376,6518.125,2512.859,1238.405
8 a 10 anos,13185.452,1036.02,3197.977,5900.49,2022.221,1028.744
11 a 14 anos,26369.916,1890.57,6323.534,12451.656,3614.912,2089.244
15 anos ou mais,10024.104,565.763,1842.792,4946.782,1706.536,962.231
Não determinados,80.349,9.011,25.525,17.151,20.423,8.239
