"tabela 1.3.6.1 - pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por grandes regiões, segundo o sexo e o nível de instrução - 2015",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6
Sexo e nível de instrução,Pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal (1000 pessoas),,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,139056.623,9971.309,33690.204,62454.999,21350.453,11589.658
Sem instrução,6099.672,496.351,2425.092,1885.587,729.403,563.239
Fundamental incompleto,40405.505,2961.031,11065.504,16546.731,6445.946,3386.293
Fundamental completo,14858.262,1062.207,3206.986,6891.468,2526.723,1170.878
Médio incompleto,11255.973,972.491,2888.162,4827.663,1608.542,959.115
Médio completo,40388.356,2928.756,9479.302,19359.342,5604.527,3016.429
Superior incompleto,7979.938,586.713,1692.264,3559.989,1351.284,789.688
Superior completo,17692.393,923.294,2823.213,9290.963,2980.015,1674.908
Não determinado,376.524,40.466,109.681,93.256,104.013,29.108
Homens,66382.262,4839.104,15596.382,29885.629,10435.953,5625.194
Sem instrução,3020.704,262.874,1232.784,900.42,341.353,283.273
Fundamental incompleto,20436.597,1561.646,5546.109,8262.777,3280.139,1785.926
Fundamental completo,7566.238,543.922,1575.669,3478.941,1339.255,628.451
Médio incompleto,5514.459,469.081,1359.506,2386.962,811.043,487.867
Médio completo,18777.97,1366.154,4155.23,9098.789,2757.761,1400.036
Superior incompleto,3650.726,256.917,681.976,1737.477,646.056,328.3
Superior completo,7237.971,359.359,991.247,3975.59,1210.561,701.214
Não determinado,177.597,19.151,53.861,44.673,49.785,10.127
Mulheres,72674.361,5132.205,18093.822,32569.37,10914.5,5964.464
Sem instrução,3078.968,233.477,1192.308,985.167,388.05,279.966
Fundamental incompleto,19968.908,1399.385,5519.395,8283.954,3165.807,1600.367
Fundamental completo,7292.024,518.285,1631.317,3412.527,1187.468,542.427
Médio incompleto,5741.514,503.41,1528.656,2440.701,797.499,471.248
Médio completo,21610.386,1562.602,5324.072,10260.553,2846.766,1616.393
Superior incompleto,4329.212,329.796,1010.288,1822.512,705.228,461.388
Superior completo,10454.422,563.935,1831.966,5315.373,1769.454,973.694
Não determinado,198.927,21.315,55.82,48.583,54.228,18.981
