"tabela 1.3.7.1 - pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal, por grandes regiões, segundo o sexo e os nível de instrução - 2015",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6
Sexo e nível de instrução,Pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal (1000 pessoas),,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,38600.199,4565.559,14719.7,13143.61,4421.347,1749.983
Sem instrução,8973.007,852.939,4481.764,2471.495,761.027,405.782
Fundamental incompleto,21638.336,2715.687,7819.787,7392.664,2705.516,1004.682
Fundamental completo,2763.993,324.165,815.596,1145.635,363.229,115.368
Médio incompleto,1412.097,248.097,547.372,439.49,112.481,64.657
Médio completo,3020.189,346.52,881.56,1310.37,357.897,123.842
Superior incompleto,197.425,22.212,53.582,78.792,32.063,10.776
Superior completo,529.078,35.925,92.356,297.914,80.755,22.128
Não determinado,66.074,20.014,27.683,7.25,8.379,2.748
Homens,19107.137,2441.485,7585.25,6152.373,2065.966,862.063
Sem instrução,4390.638,465.544,2395.962,1027.049,311.534,190.549
Fundamental incompleto,11017.01,1486.33,4121.384,3596.402,1293.895,518.999
Fundamental completo,1323.959,172.055,386.655,520.18,188.48,56.589
Médio incompleto,716.545,122.994,268.105,235.161,56.955,33.33
Médio completo,1336.409,161.443,351.197,607.659,164.559,51.551
Superior incompleto,87.482,9.848,18.25,39.912,16.401,3.071
Superior completo,206.439,14.643,29.506,124.335,30.423,7.532
Não determinado,28.655,8.628,14.191,1.675,3.719,0.442
Mulheres,19493.062,2124.074,7134.45,6991.237,2355.381,887.92
Sem instrução,4582.369,387.395,2085.802,1444.446,449.493,215.233
Fundamental incompleto,10621.326,1229.357,3698.403,3796.262,1411.621,485.683
Fundamental completo,1440.034,152.11,428.941,625.455,174.749,58.779
Médio incompleto,695.552,125.103,279.267,204.329,55.526,31.327
Médio completo,1683.78,185.077,530.363,702.711,193.338,72.291
Superior incompleto,109.943,12.364,35.332,38.88,15.662,7.705
Superior completo,322.639,21.282,62.85,173.579,50.332,14.596
Não determinado,37.419,11.386,13.492,5.575,4.66,2.306
