"tabela 1.3.8.1 - pessoas de 10 anos ou mais de idade, por grandes regiões, segundo o sexo, a condição de estudante, a rede de ensino que frequentavam e a posse de telefone móvel celular para uso pessoal - 2015",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6
"Sexo, condição de estudante, rede de ensino que frequentavam e posse de telefone móvel celular para uso pessoal",Pessoas de 10 anos ou mais de idade (1000 pessoas),,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,177656.822,14536.868,48409.904,75598.609,25771.8,13339.641
Possuíam,139056.623,9971.309,33690.204,62454.999,21350.453,11589.658
Não possuíam,38600.199,4565.559,14719.7,13143.61,4421.347,1749.983
Estudantes,36307.519,3757.805,10811.956,14038.053,4781.209,2918.496
Possuíam,26857.565,2232.544,7022.467,11331.26,3870.866,2400.428
Não possuíam,9449.954,1525.261,3789.489,2706.793,910.343,518.068
Rede pública,27030.814,3137.028,8532.966,9910.077,3408.935,2041.808
Possuíam,18164.257,1662.448,4970.868,7424.171,2547.257,1559.513
Não possuíam,8866.557,1474.58,3562.098,2485.906,861.678,482.295
Rede privada,9276.705,620.777,2278.99,4127.976,1372.274,876.688
Possuíam,8693.308,570.096,2051.599,3907.089,1323.609,840.915
Não possuíam,583.397,50.681,227.391,220.887,48.665,35.773
Não estudantes,141349.303,10779.063,37597.948,61560.556,20990.591,10421.145
Possuíam,112199.058,7738.765,26667.737,51123.739,17479.587,9189.23
Não possuíam,29150.245,3040.298,10930.211,10436.817,3511.004,1231.915
Homens,85489.399,7280.589,23181.632,36038.002,12501.919,6487.257
Possuíam,66382.262,4839.104,15596.382,29885.629,10435.953,5625.194
Não possuíam,19107.137,2441.485,7585.25,6152.373,2065.966,862.063
Estudantes,17814.158,1863.472,5329.67,6838.182,2364.559,1418.275
Possuíam,12595.021,1039.985,3243.984,5331.159,1845.512,1134.381
Não possuíam,5219.137,823.487,2085.686,1507.023,519.047,283.894
Rede pública,13650.812,1598.814,4328.079,4949.111,1733.153,1041.655
Possuíam,8756.062,798.14,2367.592,3569.081,1243.593,777.656
Não possuíam,4894.75,800.674,1960.487,1380.03,489.56,263.999
Rede privada,4163.346,264.658,1001.591,1889.071,631.406,376.62
Possuíam,3838.959,241.845,876.392,1762.078,601.919,356.725
Não possuíam,324.387,22.813,125.199,126.993,29.487,19.895
Não estudantes,67675.241,5417.117,17851.962,29199.82,10137.36,5068.982
Possuíam,53787.241,3799.119,12352.398,24554.47,8590.441,4490.813
Não possuíam,13888,1617.998,5499.564,4645.35,1546.919,578.169
Mulheres,92167.423,7256.279,25228.272,39560.607,13269.881,6852.384
Possuíam,72674.361,5132.205,18093.822,32569.37,10914.5,5964.464
Não possuíam,19493.062,2124.074,7134.45,6991.237,2355.381,887.92
Estudantes,18493.361,1894.333,5482.286,7199.871,2416.65,1500.221
Possuíam,14262.544,1192.559,3778.483,6000.101,2025.354,1266.047
Não possuíam,4230.817,701.774,1703.803,1199.77,391.296,234.174
Rede pública,13380.002,1538.214,4204.887,4960.966,1675.782,1000.153
Possuíam,9408.195,864.308,2603.276,3855.09,1303.664,781.857
Não possuíam,3971.807,673.906,1601.611,1105.876,372.118,218.296
Rede privada,5113.359,356.119,1277.399,2238.905,740.868,500.068
Possuíam,4854.349,328.251,1175.207,2145.011,721.69,484.19
Não possuíam,259.01,27.868,102.192,93.894,19.178,15.878
Não estudantes,73674.062,5361.946,19745.986,32360.736,10853.231,5352.163
Possuíam,58411.817,3939.646,14315.339,26569.269,8889.146,4698.417
Não possuíam,15262.245,1422.3,5430.647,5791.467,1964.085,653.746
