"tabela 1.3.9.1 - pessoas de 10 anos ou mais de idade, por grandes regiões, segundo o sexo, a condição de atividade na semana de referência e a posse de telefone móvel celular para uso pessoal - 2015",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6
"Sexo, condição de atividade na semana de referência e posse de telefone móvel celular para uso pessoal",Pessoas de 10 anos ou mais de idade (1000 pessoas),,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,177656.822,14536.868,48409.904,75598.609,25771.8,13339.641
Possuíam,139056.623,9971.309,33690.204,62454.999,21350.453,11589.658
Não possuíam,38600.199,4565.559,14719.7,13143.61,4421.347,1749.983
Economicamente ativas,105519.431,8287.191,26840.727,46008.415,16100.149,8282.949
Possuíam,92253.442,6400.194,21274.303,42147.471,14654.312,7777.162
Não possuíam,13265.989,1886.997,5566.424,3860.944,1445.837,505.787
Não economicamente ativas,72137.391,6249.677,21569.177,29590.194,9671.651,5056.692
Possuíam,46803.181,3571.115,12415.901,20307.528,6696.141,3812.496
Não possuíam,25334.21,2678.562,9153.276,9282.666,2975.51,1244.196
Homens,85489.399,7280.589,23181.632,36038.002,12501.919,6487.257
Possuíam,66382.262,4839.104,15596.382,29885.629,10435.953,5625.194
Não possuíam,19107.137,2441.485,7585.25,6152.373,2065.966,862.063
Economicamente ativos,59415.974,5015.517,15398.184,25391.317,8937.143,4673.813
Possuíam,50700.98,3700.302,11629.619,22952.366,8072.59,4346.103
Não possuíam,8714.994,1315.215,3768.565,2438.951,864.553,327.71
Não economicamente ativos,26073.425,2265.072,7783.448,10646.685,3564.776,1813.444
Possuíam,15681.282,1138.802,3966.763,6933.263,2363.363,1279.091
Não possuíam,10392.143,1126.27,3816.685,3713.422,1201.413,534.353
Mulheres,92167.423,7256.279,25228.272,39560.607,13269.881,6852.384
Possuíam,72674.361,5132.205,18093.822,32569.37,10914.5,5964.464
Não possuíam,19493.062,2124.074,7134.45,6991.237,2355.381,887.92
Economicamente ativas,46103.457,3271.674,11442.543,20617.098,7163.006,3609.136
Possuíam,41552.462,2699.892,9644.684,19195.105,6581.722,3431.059
Não possuíam,4550.995,571.782,1797.859,1421.993,581.284,178.077
Não economicamente ativas,46063.966,3984.605,13785.729,18943.509,6106.875,3243.248
Possuíam,31121.899,2432.313,8449.138,13374.265,4332.778,2533.405
Não possuíam,14942.067,1552.292,5336.591,5569.244,1774.097,709.843
