"tabela 1.3.14.1 - pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por grandes regiões, segundo a posse de telefone móvel celular para uso pessoal e os grupamentos de atividade do trabalho principal - 2015",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6
Posse de telefone móvel celular para uso pessoal e grupamentos de atividade do trabalho principal,"Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência (1000 pessoas)",,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,95380.483,7558.802,24128.791,41055.581,14995.082,7642.227
Agrícola,13464.212,1695.359,5771.872,3098.208,1992.787,905.986
Indústria,11962.648,708.874,2079.79,5737.504,2674.8,761.68
Indústria de transformação,11247.982,629.7,1933.697,5395.866,2580.562,708.157
Construção,8547.951,699.663,2206.4,3682.849,1254.647,704.392
Comércio e reparação,17328.874,1399.716,4371.274,7392.666,2737.099,1428.119
Alojamento e alimentação,4691.124,368.854,1177.883,2181.189,562.683,400.515
"Transporte, armazenagem e comunicação",5319.847,374.784,1074.038,2612.308,840.719,417.998
Administração pública,5010.426,496.382,1233.15,1996.725,691.888,592.281
"Educação, saúde e serviços sociais",10336.763,780.578,2444.36,4736.393,1529.593,845.839
Serviços domésticos,6308.667,436.324,1513.211,2937.783,859.545,561.804
"Outros serviços coletivos, sociais e pessoais",4076.636,246.962,864.372,2048.028,584.26,333.014
Outras atividades,8263.351,340.8,1373.582,4598.966,1261.819,688.184
Atividades maldefinidas,69.984,10.506,18.859,32.962,5.242,2.415
Possuíam,83200.334,5780.694,18944.665,37646.322,13653.515,7175.138
Agrícola,7543.794,728.248,2639.099,2066.946,1391.92,717.581
Indústria,10931.998,549.999,1798.684,5382.85,2478.613,721.852
Indústria de transformação,10255.089,486.089,1660.608,5049.179,2388.679,670.534
Construção,7275.55,559.274,1730.857,3213.561,1122.918,648.94
Comércio e reparação,16061.906,1211.979,3903.928,6967.678,2604.175,1374.146
Alojamento e alimentação,4261.278,310.283,1034.544,2016.487,520.985,378.979
"Transporte, armazenagem e comunicação",5029.507,332.779,979.867,2496.817,811.017,409.027
Administração pública,4777.61,464.19,1147.378,1919.608,665.601,580.833
"Educação, saúde e serviços sociais",9910.626,712.679,2285.707,4594.984,1487.097,830.159
Serviços domésticos,5447.264,347.627,1263.393,2553.618,773.771,508.855
"Outros serviços coletivos, sociais e pessoais",3875.112,227.524,806.482,1953.998,561.798,325.31
Outras atividades,8030.092,328.993,1338.888,4453.578,1230.378,678.255
Atividades maldefinidas,55.597,7.119,15.838,26.197,5.242,1.201
Não possuíam,12180.149,1778.108,5184.126,3409.259,1341.567,467.089
Agrícola,5920.418,967.111,3132.773,1031.262,600.867,188.405
Indústria,1030.65,158.875,281.106,354.654,196.187,39.828
Indústria de transformação,992.893,143.611,273.089,346.687,191.883,37.623
Construção,1272.401,140.389,475.543,469.288,131.729,55.452
Comércio e reparação,1266.968,187.737,467.346,424.988,132.924,53.973
Alojamento e alimentação,429.846,58.571,143.339,164.702,41.698,21.536
"Transporte, armazenagem e comunicação",290.34,42.005,94.171,115.491,29.702,8.971
Administração pública,232.816,32.192,85.772,77.117,26.287,11.448
"Educação, saúde e serviços sociais",426.137,67.899,158.653,141.409,42.496,15.68
Serviços domésticos,861.403,88.697,249.818,384.165,85.774,52.949
"Outros serviços coletivos, sociais e pessoais",201.524,19.438,57.89,94.03,22.462,7.704
Outras atividades,233.259,11.807,34.694,145.388,31.441,9.929
Atividades maldefinidas,14.387,3.387,3.021,6.765,-,1.214
