"tabela 1.3.15.1 - pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por grandes regiões, segundo a posse de telefone móvel celular para uso pessoal, a posição na ocupação e a categoria do emprego no trabalho principal - 2015",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6
"Posse de telefone móvel celular para uso pessoal, posição na ocupação e categoria do emprego no trabalho principal","Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência (1000 pessoas)",,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,95380.483,7558.802,24128.791,41055.581,14995.082,7642.227
Empregado e trabalhador doméstico,63873.303,4346.747,14067.356,29896.837,10175.129,5387.234
Com carteira de trabalho assinada,38841.496,1876.551,6434.598,20292.278,7022.756,3215.313
Militar e funcionário público estatutário,7328.011,705.076,1768.447,2977.494,1108.073,768.921
Outro sem carteira de trabalho assinada,17703.796,1765.12,5864.311,6627.065,2044.3,1403
Empregado,57564.636,3910.423,12554.145,26959.054,9315.584,4825.43
Com carteira de trabalho assinada,36825.347,1788.428,6113.067,19201.587,6724.638,2997.627
Militar e funcionário público estatutário,7328.011,705.076,1768.447,2977.494,1108.073,768.921
Outro sem carteira de trabalho assinada,13411.278,1416.919,4672.631,4779.973,1482.873,1058.882
Conta própria,21823.126,2206.772,6581.896,8197.837,3184.027,1652.594
Empregador,3550.566,195.955,645.449,1636.161,747.445,325.556
Não remunerado,2286.518,369.137,856.729,540.267,396.305,124.08
Trabalhador na produção para o próprio consumo ou na construção para o próprio uso,3846.97,440.191,1977.361,784.479,492.176,152.763
Possuíam,83200.334,5780.694,18944.665,37646.322,13653.515,7175.138
Empregado e trabalhador doméstico,58539.568,3731.531,12186.993,27936.5,9558.323,5126.221
Com carteira de trabalho assinada,36748.898,1741.338,6014.065,19250.831,6651.021,3091.643
Militar e funcionário público estatutário,7014.359,659.269,1655.957,2875.494,1066.772,756.867
Outro sem carteira de trabalho assinada,14776.311,1330.924,4516.971,5810.175,1840.53,1277.711
Empregado,53092.304,3383.904,10923.6,25382.882,8784.552,4617.366
Com carteira de trabalho assinada,34912.112,1663.654,5712.325,18271.231,6378.918,2885.984
Militar e funcionário público estatutário,7014.359,659.269,1655.957,2875.494,1066.772,756.867
Outro sem carteira de trabalho assinada,11165.833,1060.981,3555.318,4236.157,1338.862,974.515
Conta própria,17884.646,1519.327,4771.319,7285.782,2786.26,1521.958
Empregador,3416.948,178.674,606.118,1587.749,726.209,318.198
Não remunerado,1459.592,169.697,502.431,409.811,278.311,99.342
Trabalhador na produção para o próprio consumo ou na construção para o próprio uso,1899.58,181.465,877.804,426.48,304.412,109.419
Não possuíam,12180.149,1778.108,5184.126,3409.259,1341.567,467.089
Empregado e trabalhador doméstico,5333.735,615.216,1880.363,1960.337,616.806,261.013
Com carteira de trabalho assinada,2092.598,135.213,420.533,1041.447,371.735,123.67
Militar e funcionário público estatutário,313.652,45.807,112.49,102,41.301,12.054
Outro sem carteira de trabalho assinada,2927.485,434.196,1347.34,816.89,203.77,125.289
Empregado,4472.332,526.519,1630.545,1576.172,531.032,208.064
Com carteira de trabalho assinada,1913.235,124.774,400.742,930.356,345.72,111.643
Militar e funcionário público estatutário,313.652,45.807,112.49,102,41.301,12.054
Outro sem carteira de trabalho assinada,2245.445,355.938,1117.313,543.816,144.011,84.367
Conta própria,3938.48,687.445,1810.577,912.055,397.767,130.636
Empregador,133.618,17.281,39.331,48.412,21.236,7.358
Não remunerado,826.926,199.44,354.298,130.456,117.994,24.738
Trabalhador na produção para o próprio consumo ou na construção para o próprio uso,1947.39,258.726,1099.557,357.999,187.764,43.344
