"tabela 1.3.16.1 - pessoas de 10 anos ou mais de idade, por grandes regiões, segundo a posse de telefone móvel celular para uso pessoal e as classes de rendimento mensal - 2015",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6
Posse de telefone móvel celular para uso pessoal e classes de rendimento mensal,Pessoas de 10 anos ou mais de idade (1000 pessoas),,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total (1),177656.822,14536.868,48409.904,75598.609,25771.8,13339.641
Sem rendimento (2),12370.685,1429.956,6807.58,2706.521,858.519,568.109
Até 1/2 salário mínimo,9223.096,1200.206,3914.037,2623.869,968.454,516.53
Mais de 1/2 a 1 salário mínimos,57148.711,4424.633,15939.489,24185.579,8333.608,4265.402
Mais de 1 a 2 salário mínimos,21456.307,1194,3272.864,10797.579,4324.007,1867.857
Mais de 2 a 3 salário mínimos,12502.189,657.855,1631.124,6540.301,2571.965,1100.944
Mais de 3 a 5 salários mínimos,7357.68,384.595,966.905,3785.938,1462.717,757.525
Mais de 5 a 10 salário mínimos,2427.754,98.358,289.529,1324.727,423.379,291.761
Mais de10 a 20 salário mínimos,952.907,27.025,109.665,538.482,155.091,122.644
Mais de 20 salários mínimos,52271.646,5042.855,15206.225,21842.837,6416.769,3762.96
Possuíam (1),139056.623,9971.309,33690.204,62454.999,21350.453,11589.658
Sem rendimento (2),37853.89,3023.562,9759.912,17099.672,4923.979,3046.765
Até 1/2 salário mínimo,8399.166,861.303,4353.488,2073.183,649.522,461.67
Mais de 1/2 a 1 salário mínimos,7077.645,784.181,2848.64,2167.939,820.078,456.807
Mais de 1 a 2 salário mínimos,43402.878,3165.058,11076.489,18961.54,6581.353,3618.438
Mais de 2 a 3 salário mínimos,18673.724,992.886,2632.438,9527.804,3796.121,1724.475
Mais de 3 a 5 salários mínimos,11657.912,607.611,1542.484,6059.303,2393.658,1054.856
Mais de 5 a 10 salário mínimos,7051.484,363.443,925.643,3623.49,1396.736,742.172
Mais de10 a 20 salário mínimos,2363.385,94.109,281.475,1286.272,413.049,288.48
Mais de 20 salários mínimos,924.741,26.105,105.799,525.252,147.144,120.441
Não possuíam (1),38600.199,4565.559,14719.7,13143.61,4421.347,1749.983
Sem rendimento (2),14417.756,2019.293,5446.313,4743.165,1492.79,716.195
Até 1/2 salário mínimo,3971.519,568.653,2454.092,633.338,208.997,106.439
Mais de 1/2 a 1 salário mínimos,2145.451,416.025,1065.397,455.93,148.376,59.723
Mais de 1 a 2 salário mínimos,13745.833,1259.575,4863,5224.039,1752.255,646.964
Mais de 2 a 3 salário mínimos,2782.583,201.114,640.426,1269.775,527.886,143.382
Mais de 3 a 5 salários mínimos,844.277,50.244,88.64,480.998,178.307,46.088
Mais de 5 a 10 salário mínimos,306.196,21.152,41.262,162.448,65.981,15.353
Mais de10 a 20 salário mínimos,64.369,4.249,8.054,38.455,10.33,3.281
Mais de 20 salários mínimos,28.166,0.92,3.866,13.23,7.947,2.203
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
