"tabela 1.3.20.1 - pessoas de 10 anos ou mais de idade, por sexo e posse de telefone móvel celular para uso pessoal, segundo as grandes regiões, as unidades da federação e as regiões metropolitanas - 2015",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Pessoas de 10 anos ou mais de idade (1000 pessoas),,,,,,,,
,Total,Posse de telefone móvel celular para uso pessoal,,Homens,,,Mulheres,,
,,,,Total,Posse de telefone móvel celular para uso pessoal,,Total,Posse de telefone móvel celular para uso pessoal,
,,Possuíam,Não possuíam,,Possuíam,Não possuíam,,Possuíam,Não possuíam
Brasil,177656.822,139056.623,38600.199,85489.399,66382.262,19107.137,92167.423,72674.361,19493.062
Norte,14536.868,9971.309,4565.559,7280.589,4839.104,2441.485,7256.279,5132.205,2124.074
Rondônia,1498.147,1136.664,361.483,746.53,558.225,188.305,751.617,578.439,173.178
Acre,651.348,450.428,200.92,323.583,214.449,109.134,327.765,235.979,91.786
Amazonas,3216.277,2215.775,1000.502,1608.113,1063.924,544.189,1608.164,1151.851,456.313
Roraima,420.511,314.736,105.775,212.006,153.129,58.877,208.505,161.607,46.898
Pará,6837.456,4407.685,2429.771,3431.551,2132.58,1298.971,3405.905,2275.105,1130.8
Região Metropolitana de Belém,1922.792,1592.726,330.066,910.82,748.021,162.799,1011.972,844.705,167.267
Amapá,623.225,452.444,170.781,307.408,225.958,81.45,315.817,226.486,89.331
Tocantins,1289.904,993.577,296.327,651.398,490.839,160.559,638.506,502.738,135.768
Nordeste,48409.904,33690.204,14719.7,23181.632,15596.382,7585.25,25228.272,18093.822,7134.45
Maranhão,5654.411,3093.692,2560.719,2757.711,1423.599,1334.112,2896.7,1670.093,1226.607
Piauí,2737.791,1873.779,864.012,1335.123,876.942,458.181,1402.668,996.837,405.831
Ceará,7675.584,5188.708,2486.876,3728.384,2399.556,1328.828,3947.2,2789.152,1158.048
Região Metropolitana de Fortaleza,3344.522,2729.537,614.985,1585.937,1266.76,319.177,1758.585,1462.777,295.808
Rio Grande do Norte,2975.62,2250.083,725.537,1405.881,1025.807,380.074,1569.739,1224.276,345.463
Paraíba,3411.321,2605.215,806.106,1621.299,1204.351,416.948,1790.022,1400.864,389.158
Pernambuco,8100.013,5970.383,2129.63,3832.729,2762.238,1070.491,4267.284,3208.145,1059.139
Região Metropolitana de Recife,3454.326,2924.052,530.274,1565.632,1335.202,230.43,1888.694,1588.85,299.844
Alagoas,2849.124,1915.987,933.137,1356.613,880.915,475.698,1492.511,1035.072,457.439
Sergipe,1920.947,1466.729,454.218,916.482,679.291,237.191,1004.465,787.438,217.027
Bahia,13085.093,9325.628,3759.465,6227.41,4343.683,1883.727,6857.683,4981.945,1875.738
Região Metropolitana de Salvador,3477.228,3057.277,419.951,1586.076,1402.306,183.77,1891.152,1654.971,236.181
Sudeste,75598.609,62454.999,13143.61,36038.002,29885.629,6152.373,39560.607,32569.37,6991.237
Minas Gerais,18379.764,14674.31,3705.454,8991.159,7149.436,1841.723,9388.605,7524.874,1863.731
Região Metropolitana de Belo Horizonte,4625.536,4034.18,591.356,2213.951,1930.032,283.919,2411.585,2104.148,307.437
Espírito Santo,3427.822,2780.138,647.684,1627.556,1310.911,316.645,1800.266,1469.227,331.039
Rio de Janeiro,14646.539,12166.843,2479.696,6836.305,5756.487,1079.818,7810.234,6410.356,1399.878
Região Metropolitana do Rio de Janeiro,10770.231,9073.957,1696.274,4997.828,4302.161,695.667,5772.403,4771.796,1000.607
São Paulo,39144.484,32833.708,6310.776,18582.982,15668.795,2914.187,20561.502,17164.913,3396.589
Região Metropolitana de São Paulo,18604.133,15823.502,2780.631,8685.921,7421.43,1264.491,9918.212,8402.072,1516.14
Sul,25771.8,21350.453,4421.347,12501.919,10435.953,2065.966,13269.881,10914.5,2355.381
Paraná,9745.617,7947.032,1798.585,4731.652,3898.513,833.139,5013.965,4048.519,965.446
Região Metropolitana de Curitiba,3030.41,2554.45,475.96,1469.1,1257.308,211.792,1561.31,1297.142,264.168
Santa Catarina,6048.506,4902.014,1146.492,2985.178,2456.351,528.827,3063.328,2445.663,617.665
Rio Grande do Sul,9977.677,8501.407,1476.27,4785.089,4081.089,704,5192.588,4420.318,772.27
Região Metropolitana de Porto Alegre,3722.776,3311.087,411.689,1740.905,1550.489,190.416,1981.871,1760.598,221.273
Centro-Oeste,13339.641,11589.658,1749.983,6487.257,5625.194,862.063,6852.384,5964.464,887.92
Mato Grosso do Sul,2283.967,1980.415,303.552,1124.084,974.294,149.79,1159.883,1006.121,153.762
Mato Grosso,2766.131,2304.152,461.979,1388.108,1145.078,243.03,1378.023,1159.074,218.949
Goiás,5730.676,4983.775,746.901,2776.925,2417.043,359.882,2953.751,2566.732,387.019
Distrito Federal,2558.867,2321.316,237.551,1198.14,1088.779,109.361,1360.727,1232.537,128.19
