"tabela 1.3.22.1 - pessoas de 10 anos ou mais de idade, total e que tinham telefone móvel celular para uso pessoal, por situação do domicílio, segundo as grandes regiões e as unidades da federação - 2015",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6
Grandes Regiões e Unidades da Federação,Pessoas de 10 anos ou mais de idade,,,,,
,Total,Situação do domicílio,,Tinham telefone móvel celular para uso pessoal,,
,,,,Total,Situação do domicílio,
,,Urbana,Rural,,Urbana,Rural
Brasil,177656.822,150985.43,26671.392,139056.623,124971.293,14085.33
Norte,14536.868,10984.571,3552.297,9971.309,8583.745,1387.564
Rondônia,1498.147,1139.346,358.801,1136.664,929.162,207.502
Acre,651.348,472.313,179.035,450.428,377.196,73.232
Amazonas,3216.277,2727.425,488.852,2215.775,2112.269,103.506
Roraima,420.511,356.051,64.46,314.736,292.626,22.11
Pará,6837.456,4734.417,2103.039,4407.685,3609.926,797.759
Amapá,623.225,546.758,76.467,452.444,429.318,23.126
Tocantins,1289.904,1008.261,281.643,993.577,833.248,160.329
Nordeste,48409.904,35540.011,12869.893,33690.204,27766.719,5923.485
Maranhão,5654.411,3383.818,2270.593,3093.692,2360.119,733.573
Piauí,2737.791,1821.437,916.354,1873.779,1437.561,436.218
Ceará,7675.584,5593.097,2082.487,5188.708,4224.883,963.825
Rio Grande do Norte,2975.62,2312.269,663.351,2250.083,1880.609,369.474
Paraíba,3411.321,2741.566,669.755,2605.215,2197.92,407.295
Pernambuco,8100.013,6494.223,1605.79,5970.383,5188.393,781.99
Alagoas,2849.124,2102.881,746.243,1915.987,1561.753,354.234
Sergipe,1920.947,1373.251,547.696,1466.729,1125.073,341.656
Bahia,13085.093,9717.469,3367.624,9325.628,7790.408,1535.22
Sudeste,75598.609,70444.333,5154.276,62454.999,59179.449,3275.55
Minas Gerais,18379.764,15450.814,2928.95,14674.31,12958.312,1715.998
Espírito Santo,3427.822,2915.076,512.746,2780.138,2467.693,312.445
Rio de Janeiro,14646.539,14260.455,386.084,12166.843,11921.102,245.741
São Paulo,39144.484,37817.988,1326.496,32833.708,31832.342,1001.366
Sul,25771.8,22018.341,3753.459,21350.453,18828.559,2521.894
Paraná,9745.617,8510.383,1235.234,7947.032,7122.382,824.65
Santa Catarina,6048.506,5056.787,991.719,4902.014,4277.889,624.125
Rio Grande do Sul,9977.677,8451.171,1526.506,8501.407,7428.288,1073.119
Centro-Oeste,13339.641,11998.174,1341.467,11589.658,10612.821,976.837
Mato Grosso do Sul,2283.967,2038.294,245.673,1980.415,1789.977,190.438
Mato Grosso,2766.131,2264.76,501.371,2304.152,1985.821,318.331
Goiás,5730.676,5251.433,479.243,4983.775,4610.772,373.003
Distrito Federal,2558.867,2443.687,115.18,2321.316,2226.251,95.065
