"tabela 1.3.23.1 - pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por grupos de anos de estudo, segundo as grandes regiões, as unidades da federação e as regiões metropolitanas - 2015",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal (1000 pessoas),,,,,,
,Total,Grupos de anos de estudo,,,,,
,,Sem instrução a menos de 4 anos,4 a 7 anos,8 a 10 anos,11 a 14 anos,15 anos ou mais,Não deter-minados
Brasil,139056.623,15327.623,31115.862,26389.904,48893.007,17167.68,162.547
Norte,9971.309,1252.368,2200.337,2062.413,3497.204,941.559,17.428
Rondônia,1136.664,159.136,292.611,221.008,340.973,121.316,1.62
Acre,450.428,73.935,76.916,99.336,149.097,48.692,2.452
Amazonas,2215.775,202.107,442.658,417.551,917.166,232.388,3.905
Roraima,314.736,28.73,61.571,58.897,122.771,42.561,0.206
Pará,4407.685,598.487,1023.571,976.557,1474.574,327.335,7.161
Região Metropolitana de Belém,1592.726,111.538,293.428,368.519,642.421,172.751,4.069
Amapá,452.444,42.307,87.487,94.072,174.989,52.012,1.577
Tocantins,993.577,147.666,215.523,194.992,317.634,117.255,0.507
Nordeste,33690.204,5424.959,8049.315,6169.278,11121.593,2873.186,51.873
Maranhão,3093.692,440.457,663.695,652.398,1098.14,235.998,3.004
Piauí,1873.779,348.978,484.624,379.379,496.443,163.793,0.562
Ceará,5188.708,787.707,1089.218,1057.106,1840.758,406.057,7.862
Região Metropolitana de Fortaleza,2729.537,297.926,548.119,563.657,1066.491,247.682,5.662
Rio Grande do Norte,2250.083,327.099,574.354,377.246,748.134,218.306,4.944
Paraíba,2605.215,473.866,627.719,433.115,780.903,286.38,3.232
Pernambuco,5970.383,909.602,1414.349,1074.346,1969.511,586.688,15.887
Região Metropolitana de Recife,2924.052,300.353,618.906,507.386,1150.226,343.602,3.579
Alagoas,1915.987,356.122,547.44,323.423,522.258,164.857,1.887
Sergipe,1466.729,263.197,392.981,256.991,442.124,108.139,3.297
Bahia,9325.628,1517.931,2254.935,1615.274,3223.322,702.968,11.198
Região Metropolitana de Salvador,3057.277,245.927,632.615,522.757,1308.591,346.381,1.006
Sudeste,62454.999,5280.79,13126.187,11801.195,23405.654,8804.64,36.533
Minas Gerais,14674.31,1588.068,3990.324,2690.385,4819.697,1571.281,14.555
Região Metropolitana de Belo Horizonte,4034.18,350.77,902.498,747.738,1467.836,561.623,3.715
Espírito Santo,2780.138,295.658,654.861,509.733,956.483,360.404,2.999
Rio de Janeiro,12166.843,958.803,2333.208,2467.379,4528.553,1869.89,9.01
Região Metropolitana do Rio de Janeiro,9073.957,620.043,1597.151,1820.767,3482.032,1548.244,5.72
São Paulo,32833.708,2438.261,6147.794,6133.698,13100.921,5003.065,9.969
Região Metropolitana de São Paulo,15823.502,1053.746,2661.252,2903.171,6434.385,2765.571,5.377
Sul,21350.453,2028.045,5137.833,4205.231,7033.859,2901.967,43.518
Paraná,7947.032,797.179,1731.61,1512.864,2746.827,1130.434,28.118
Região Metropolitana de Curitiba,2554.45,170.489,475.483,476.396,953.307,473.492,5.283
Santa Catarina,4902.014,399.128,1040.447,993.15,1750.571,705.822,12.896
Rio Grande do Sul,8501.407,831.738,2365.776,1699.217,2536.461,1065.711,2.504
Região Metropolitana de Porto Alegre,3311.087,273.369,774.332,659.538,1100.598,501.479,1.771
Centro-Oeste,11589.658,1341.461,2602.19,2151.787,3834.697,1646.328,13.195
Mato Grosso do Sul,1980.415,265.124,516.528,338.895,599.16,257.173,3.535
Mato Grosso,2304.152,313.976,467.646,504.434,759.307,253.533,5.256
Goiás,4983.775,585.488,1233.426,950.808,1638.034,574.211,1.808
Distrito Federal,2321.316,176.873,384.59,357.65,838.196,561.411,2.596
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,
,,,,,,,
