"tabela 1.3.24.1 - pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por nível de instrução, segundo as grandes regiões, as unidades da federação e as regiões metropolitanas - 2015",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal (1000 pessoas),,,,,,,
,Total,Nível de instrução,,,,,,
,,Sem instrução e funda-mental incompleto,Funda-mental completo,Médio incompleto,Médio completo,Superior incompleto,Superior completo,Não deter-minado
Brasil,139056.623,46505.177,14858.262,11255.973,40388.356,7979.938,17692.393,376.524
Norte,9971.309,3457.382,1062.207,972.491,2928.756,586.713,923.294,40.466
Rondônia,1136.664,452.017,126.983,89.162,270.188,77.811,114.29,6.213
Acre,450.428,150.851,50.632,46.952,121.767,29.781,46.241,4.204
Amazonas,2215.775,646.391,194.621,215.449,761.581,152.976,234.997,9.76
Roraima,314.736,90.301,29.341,28.936,94.659,28.73,41.943,0.826
Pará,4407.685,1624.324,509.165,456.202,1285.958,194.497,321.454,16.085
Região Metropolitana de Belém,1592.726,405.17,194.333,170.726,548.62,92.984,173.568,7.325
Amapá,452.444,130.056,49.66,43.363,140.042,37.573,49.386,2.364
Tocantins,993.577,363.442,101.805,92.427,254.561,65.345,114.983,1.014
Nordeste,33690.204,13490.596,3206.986,2888.162,9479.302,1692.264,2823.213,109.681
Maranhão,3093.692,1105.655,319.432,327.705,959.844,139.804,234.49,6.762
Piauí,1873.779,833.602,179.556,199.823,420.454,78.241,161.541,0.562
Ceará,5188.708,1878.693,606.58,438.696,1543.608,305.812,397.395,17.924
Região Metropolitana de Fortaleza,2729.537,847.813,329.421,226.806,888.851,181.169,244.153,11.324
Rio Grande do Norte,2250.083,902.159,184.393,187.909,635.098,115.859,215.483,9.182
Paraíba,2605.215,1103.525,229.488,199.747,628.995,159.023,279.265,5.172
Pernambuco,5970.383,2328.406,586.652,468.392,1695.541,281.94,578.718,30.734
Região Metropolitana de Recife,2924.052,920.636,279.704,222.999,991.653,158.852,343.323,6.885
Alagoas,1915.987,905.449,166.111,151.02,428.5,88.721,169.894,6.292
Sergipe,1466.729,656.545,133.064,119.895,371.372,71.477,107.414,6.962
Bahia,9325.628,3776.562,801.71,794.975,2795.89,451.387,679.013,26.091
Região Metropolitana de Salvador,3057.277,879.886,254.665,264.396,1107.675,202.932,344.365,3.358
Sudeste,62454.999,18432.318,6891.468,4827.663,19359.342,3559.989,9290.963,93.256
Minas Gerais,14674.31,5579.991,1549.887,1118.099,3977.198,761.319,1652.461,35.355
Região Metropolitana de Belo Horizonte,4034.18,1254.093,428.746,313.626,1178.965,259.571,590.923,8.256
Espírito Santo,2780.138,951.719,296.249,208.086,791.558,164.921,360.408,7.197
Rio de Janeiro,12166.843,3295.913,1501.728,953.99,3899.841,692.512,1806.09,16.769
Região Metropolitana do Rio de Janeiro,9073.957,2218.464,1096.536,719.15,2995.395,542.545,1492.336,9.531
São Paulo,32833.708,8604.695,3543.604,2547.488,10690.745,1941.237,5472.004,33.935
Região Metropolitana de São Paulo,15823.502,3727.898,1633.296,1254.823,5186.008,984.934,3029.014,7.529
Sul,21350.453,7175.349,2526.723,1608.542,5604.527,1351.284,2980.015,104.013
Paraná,7947.032,2532.342,865.437,620.647,2218.762,451.649,1206.85,51.345
Região Metropolitana de Curitiba,2554.45,648.854,282.376,185.375,769.848,152.721,504.23,11.046
Santa Catarina,4902.014,1441.725,619.83,346.804,1425.959,293.088,737.346,37.262
Rio Grande do Sul,8501.407,3201.282,1041.456,641.091,1959.806,606.547,1035.819,15.406
Região Metropolitana de Porto Alegre,3311.087,1050.735,396.534,254.406,848.969,275.65,477.458,7.335
Centro-Oeste,11589.658,3949.532,1170.878,959.115,3016.429,789.688,1674.908,29.108
Mato Grosso do Sul,1980.415,782.094,193.527,140.95,464.4,120.627,271.306,7.511
Mato Grosso,2304.152,783.374,277.164,222.452,621.809,140.999,250.032,8.322
Goiás,4983.775,1821.627,507.735,435.386,1318.844,329.142,564.259,6.782
Distrito Federal,2321.316,562.437,192.452,160.327,611.376,198.92,589.311,6.493
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,
,,,,,,,,
