"tabela 1.3.25.1 - pessoas de 10 anos ou mais de idade, por condição de estudante e posse de telefone móvel celular para uso pessoal, segundo as grandes regiões, as unidades da federação e as regiões metropolitanas - 2015",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Pessoas de 10 anos ou mais de idade (1000 pessoas),,,,,,,,
,Total,Posse de telefone móvel celular para uso pessoal,,Estudantes,,,Não estudantes,,
,,,,Total,Posse de telefone móvel celular para uso pessoal,,Total,Posse de telefone móvel celular para uso pessoal,
,,Possuíam,Não possuíam,,Possuíam,Não possuíam,,Possuíam,Não possuíam
Brasil,177656.822,139056.623,38600.199,36307.519,26857.565,9449.954,141349.303,112199.058,29150.245
Norte,14536.868,9971.309,4565.559,3757.805,2232.544,1525.261,10779.063,7738.765,3040.298
Rondônia,1498.147,1136.664,361.483,330.949,232.885,98.064,1167.198,903.779,263.419
Acre,651.348,450.428,200.92,187.813,115.634,72.179,463.535,334.794,128.741
Amazonas,3216.277,2215.775,1000.502,895.041,520.747,374.294,2321.236,1695.028,626.208
Roraima,420.511,314.736,105.775,129.345,87.828,41.517,291.166,226.908,64.258
Pará,6837.456,4407.685,2429.771,1724.109,948.935,775.174,5113.347,3458.75,1654.597
Região Metropolitana de Belém,1922.792,1592.726,330.066,431.816,320.307,111.509,1490.976,1272.419,218.557
Amapá,623.225,452.444,170.781,181.301,113.517,67.784,441.924,338.927,102.997
Tocantins,1289.904,993.577,296.327,309.247,212.998,96.249,980.657,780.579,200.078
Nordeste,48409.904,33690.204,14719.7,10811.956,7022.467,3789.489,37597.948,26667.737,10930.211
Maranhão,5654.411,3093.692,2560.719,1416.77,673.425,743.345,4237.641,2420.267,1817.374
Piauí,2737.791,1873.779,864.012,655.74,417.089,238.651,2082.051,1456.69,625.361
Ceará,7675.584,5188.708,2486.876,1611.722,1069.712,542.01,6063.862,4118.996,1944.866
Região Metropolitana de Fortaleza,3344.522,2729.537,614.985,717.948,549.873,168.075,2626.574,2179.664,446.91
Rio Grande do Norte,2975.62,2250.083,725.537,645.699,487.456,158.243,2329.921,1762.627,567.294
Paraíba,3411.321,2605.215,806.106,755.044,562.41,192.634,2656.277,2042.805,613.472
Pernambuco,8100.013,5970.383,2129.63,1694.187,1180.812,513.375,6405.826,4789.571,1616.255
Região Metropolitana de Recife,3454.326,2924.052,530.274,679.476,556.145,123.331,2774.85,2367.907,406.943
Alagoas,2849.124,1915.987,933.137,653.127,396.407,256.72,2195.997,1519.58,676.417
Sergipe,1920.947,1466.729,454.218,431.494,302.081,129.413,1489.453,1164.648,324.805
Bahia,13085.093,9325.628,3759.465,2948.173,1933.075,1015.098,10136.92,7392.553,2744.367
Região Metropolitana de Salvador,3477.228,3057.277,419.951,759.956,631.28,128.676,2717.272,2425.997,291.275
Sudeste,75598.609,62454.999,13143.61,14038.053,11331.26,2706.793,61560.556,51123.739,10436.817
Minas Gerais,18379.764,14674.31,3705.454,3567.477,2785.039,782.438,14812.287,11889.271,2923.016
Região Metropolitana de Belo Horizonte,4625.536,4034.18,591.356,944.19,793.563,150.627,3681.346,3240.617,440.729
Espírito Santo,3427.822,2780.138,647.684,654.856,494.149,160.707,2772.966,2285.989,486.977
Rio de Janeiro,14646.539,12166.843,2479.696,2726.557,2229.997,496.56,11919.982,9936.846,1983.136
Região Metropolitana do Rio de Janeiro,10770.231,9073.957,1696.274,2005.648,1669.574,336.074,8764.583,7404.383,1360.2
São Paulo,39144.484,32833.708,6310.776,7089.163,5822.075,1267.088,32055.321,27011.633,5043.688
Região Metropolitana de São Paulo,18604.133,15823.502,2780.631,3560.148,2927.912,632.236,15043.985,12895.59,2148.395
Sul,25771.8,21350.453,4421.347,4781.209,3870.866,910.343,20990.591,17479.587,3511.004
Paraná,9745.617,7947.032,1798.585,1825.86,1459.579,366.281,7919.757,6487.453,1432.304
Região Metropolitana de Curitiba,3030.41,2554.45,475.96,559.01,453.355,105.655,2471.4,2101.095,370.305
Santa Catarina,6048.506,4902.014,1146.492,1122.874,894.287,228.587,4925.632,4007.727,917.905
Rio Grande do Sul,9977.677,8501.407,1476.27,1832.475,1517,315.475,8145.202,6984.407,1160.795
Região Metropolitana de Porto Alegre,3722.776,3311.087,411.689,748.052,636.53,111.522,2974.724,2674.557,300.167
Centro-Oeste,13339.641,11589.658,1749.983,2918.496,2400.428,518.068,10421.145,9189.23,1231.915
Mato Grosso do Sul,2283.967,1980.415,303.552,472.782,382.203,90.579,1811.185,1598.212,212.973
Mato Grosso,2766.131,2304.152,461.979,583.265,447.084,136.181,2182.866,1857.068,325.798
Goiás,5730.676,4983.775,746.901,1214.381,1007.767,206.614,4516.295,3976.008,540.287
Distrito Federal,2558.867,2321.316,237.551,648.068,563.374,84.694,1910.799,1757.942,152.857
