"tabela 1.3.26.1 - pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e posse de telefone móvel celular para uso pessoal, segundo as grandes regiões, as unidades da federação e as regiões metropolitanas - 2015",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Pessoas de 10 anos ou mais de idade (1000 pessoas),,,,,,,,
,Total,Posse de telefone móvel celular para uso pessoal,,Condição de atividade na semana de referência,,,,,
,,,,Economicamente ativas,,,Não economicamente ativas,,
,,,,Total,Posse de telefone móvel celular para uso pessoal,,Total,Posse de telefone móvel celular para uso pessoal,
,,Possuíam,Não possuíam,,Possuíam,Não possuíam,,Possuíam,Não possuíam
Brasil,177656.822,139056.623,38600.199,105519.431,92253.442,13265.989,72137.391,46803.181,25334.21
Norte,14536.868,9971.309,4565.559,8287.191,6400.194,1886.997,6249.677,3571.115,2678.562
Rondônia,1498.147,1136.664,361.483,875.145,737.357,137.788,623.002,399.307,223.695
Acre,651.348,450.428,200.92,355.637,272.43,83.207,295.711,177.998,117.713
Amazonas,3216.277,2215.775,1000.502,1844.734,1419.681,425.053,1371.543,796.094,575.449
Roraima,420.511,314.736,105.775,250.244,212.432,37.812,170.267,102.304,67.963
Pará,6837.456,4407.685,2429.771,3892.515,2841.67,1050.845,2944.941,1566.015,1378.926
Região Metropolitana de Belém,1922.792,1592.726,330.066,1139.907,1037.14,102.767,782.885,555.586,227.299
Amapá,623.225,452.444,170.781,333.15,281.916,51.234,290.075,170.528,119.547
Tocantins,1289.904,993.577,296.327,735.766,634.708,101.058,554.138,358.869,195.269
Nordeste,48409.904,33690.204,14719.7,26840.727,21274.303,5566.424,21569.177,12415.901,9153.276
Maranhão,5654.411,3093.692,2560.719,3169.587,1963.239,1206.348,2484.824,1130.453,1354.371
Piauí,2737.791,1873.779,864.012,1721.821,1298.533,423.288,1015.97,575.246,440.724
Ceará,7675.584,5188.708,2486.876,3987.298,3164.843,822.455,3688.286,2023.865,1664.421
Região Metropolitana de Fortaleza,3344.522,2729.537,614.985,1918.18,1760.009,158.171,1426.342,969.528,456.814
Rio Grande do Norte,2975.62,2250.083,725.537,1643.944,1382.556,261.388,1331.676,867.527,464.149
Paraíba,3411.321,2605.215,806.106,1974.267,1673.679,300.588,1437.054,931.536,505.518
Pernambuco,8100.013,5970.383,2129.63,4279.534,3572.705,706.829,3820.479,2397.678,1422.801
Região Metropolitana de Recife,3454.326,2924.052,530.274,1877.073,1767.208,109.865,1577.253,1156.844,420.409
Alagoas,2849.124,1915.987,933.137,1357.849,1091.075,266.774,1491.275,824.912,666.363
Sergipe,1920.947,1466.729,454.218,1140.842,958.275,182.567,780.105,508.454,271.651
Bahia,13085.093,9325.628,3759.465,7565.585,6169.398,1396.187,5519.508,3156.23,2363.278
Região Metropolitana de Salvador,3477.228,3057.277,419.951,2243.244,2132.376,110.868,1233.984,924.901,309.083
Sudeste,75598.609,62454.999,13143.61,46008.415,42147.471,3860.944,29590.194,20307.528,9282.666
Minas Gerais,18379.764,14674.31,3705.454,11488.647,10124.13,1364.517,6891.117,4550.18,2340.937
Região Metropolitana de Belo Horizonte,4625.536,4034.18,591.356,3016.55,2868.399,148.151,1608.986,1165.781,443.205
Espírito Santo,3427.822,2780.138,647.684,2062.31,1857.812,204.498,1365.512,922.326,443.186
Rio de Janeiro,14646.539,12166.843,2479.696,8407.734,7758.169,649.565,6238.805,4408.674,1830.131
Região Metropolitana do Rio de Janeiro,10770.231,9073.957,1696.274,6245.604,5826.927,418.677,4524.627,3247.03,1277.597
São Paulo,39144.484,32833.708,6310.776,24049.724,22407.36,1642.364,15094.76,10426.348,4668.412
Região Metropolitana de São Paulo,18604.133,15823.502,2780.631,11538.621,10819.257,719.364,7065.512,5004.245,2061.267
Sul,25771.8,21350.453,4421.347,16100.149,14654.312,1445.837,9671.651,6696.141,2975.51
Paraná,9745.617,7947.032,1798.585,5993.314,5446.714,546.6,3752.303,2500.318,1251.985
Região Metropolitana de Curitiba,3030.41,2554.45,475.96,1846.073,1739.454,106.619,1184.337,814.996,369.341
Santa Catarina,6048.506,4902.014,1146.492,3736.156,3387.194,348.962,2312.35,1514.82,797.53
Rio Grande do Sul,9977.677,8501.407,1476.27,6370.679,5820.404,550.275,3606.998,2681.003,925.995
Região Metropolitana de Porto Alegre,3722.776,3311.087,411.689,2316.191,2211.258,104.933,1406.585,1099.829,306.756
Centro-Oeste,13339.641,11589.658,1749.983,8282.949,7777.162,505.787,5056.692,3812.496,1244.196
Mato Grosso do Sul,2283.967,1980.415,303.552,1441.361,1347.245,94.116,842.606,633.17,209.436
Mato Grosso,2766.131,2304.152,461.979,1705.126,1546.175,158.951,1061.005,757.977,303.028
Goiás,5730.676,4983.775,746.901,3557.342,3355.243,202.099,2173.334,1628.532,544.802
Distrito Federal,2558.867,2321.316,237.551,1579.12,1528.499,50.621,979.747,792.817,186.93
