"tabela 1.3.28.1 - pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por classes de rendimento mensal, segundo as grandes regiões, as unidades da federação e as regiões metropolitanas - 2015",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal (1000 pessoas),,,,,,,,
,Total (1),Classes de rendimento mensal (salário mínimo),,,,,,,
,,Sem rendi-mento (2),Até 1/2,Mais de 1/2 a 1,Mais de 1 a 2,Mais de 2 a 3,Mais de 3 a 5,Mais de 5 a 10,Mais de 10
Brasil,139056.623,37853.89,8399.166,7077.645,43402.878,18673.724,11657.912,7051.484,3288.126
Norte,9971.309,3023.562,861.303,784.181,3165.058,992.886,607.611,363.443,120.214
Rondônia,1136.664,330.693,65.383,62.138,362.574,150.51,95.656,47.279,17.028
Acre,450.428,135.608,47.126,33.104,143.315,39.771,25.927,19.268,5.433
Amazonas,2215.775,750.216,161.439,153.608,665.548,224.909,141.594,82.339,29.611
Roraima,314.736,84.736,25.626,20.265,97.949,35.335,23.14,19.009,6.817
Pará,4407.685,1311.038,445.14,420.75,1416.007,399.952,218.214,133.798,38.322
Região Metropolitana de Belém,1592.726,473.734,117.417,127.568,546.19,137.145,83.224,69.394,25.441
Amapá,452.444,140.303,30.217,30.745,139.253,44.138,42.041,19.704,5.78
Tocantins,993.577,270.968,86.372,63.571,340.412,98.271,61.039,42.046,17.223
Nordeste,33690.204,9759.912,4353.488,2848.64,11076.489,2632.438,1542.484,925.643,387.274
Maranhão,3093.692,913.232,480.282,274.337,920.739,246.526,117.261,84.181,42.098
Piauí,1873.779,502.63,285.366,178.999,598.33,149.73,81.612,56.287,16.884
Ceará,5188.708,1550.448,635.04,432.874,1760.706,381.182,217.712,116.639,46.763
Região Metropolitana de Fortaleza,2729.537,780.569,211.255,185.052,1018.698,246.273,143.664,79.978,35.034
Rio Grande do Norte,2250.083,678.915,247.963,155.412,725.525,189.349,136.342,79.133,29.671
Paraíba,2605.215,725.967,382.684,216.565,817.146,194.586,138.985,79.508,41.369
Pernambuco,5970.383,1868.568,679.56,460.233,1967.389,470.724,252.204,158.825,85.342
Região Metropolitana de Recife,2924.052,926.966,251.077,178.682,981.194,275.309,151.43,94.977,59.187
Alagoas,1915.987,604.058,246.647,137.164,645.592,130.881,81.166,50.975,10.697
Sergipe,1466.729,413.879,214.46,123.173,477.298,111.079,66.723,38.852,13.565
Bahia,9325.628,2502.215,1181.486,869.883,3163.764,758.381,450.479,261.243,100.885
Região Metropolitana de Salvador,3057.277,795.225,223.754,217.036,1100.961,310.088,198.891,137.41,60.136
Sudeste,62454.999,17099.672,2073.183,2167.939,18961.54,9527.804,6059.303,3623.49,1811.524
Minas Gerais,14674.31,3911.022,733.463,677.953,5216.031,1942.207,1119.241,675.636,338.124
Região Metropolitana de Belo Horizonte,4034.18,1046.945,122.56,145.255,1347.725,574.85,370.537,251.329,146.09
Espírito Santo,2780.138,756.822,128.936,133.723,907.918,380.796,239.277,130.723,64.169
Rio de Janeiro,12166.843,3442.295,369.292,436.723,3771.423,1766.842,1088.883,707.279,401.425
Região Metropolitana do Rio de Janeiro,9073.957,2543.772,252.202,317.657,2683.465,1373.478,848.132,571.785,348.144
São Paulo,32833.708,8989.533,841.492,919.54,9066.168,5437.959,3611.902,2109.852,1007.806
Região Metropolitana de São Paulo,15823.502,4470.921,390.322,407.522,4102.123,2513.968,1709.639,1139.771,630.107
Sul,21350.453,4923.979,649.522,820.078,6581.353,3796.121,2393.658,1396.736,560.193
Paraná,7947.032,1966.317,255.201,318.574,2421.304,1328.184,848.571,515.025,220.715
Região Metropolitana de Curitiba,2554.45,643.05,45.624,68.688,669.47,466.334,327.991,206.026,108.534
Santa Catarina,4902.014,1080.57,81.692,138.284,1355.772,1034.718,670.709,351.1,123.965
Rio Grande do Sul,8501.407,1877.092,312.629,363.22,2804.277,1433.219,874.378,530.611,215.513
Região Metropolitana de Porto Alegre,3311.087,750.091,84.457,104.953,1058.053,549.798,357.835,219.515,120.133
Centro-Oeste,11589.658,3046.765,461.67,456.807,3618.438,1724.475,1054.856,742.172,408.921
Mato Grosso do Sul,1980.415,476.748,92.786,84.851,650.856,295.607,191.329,130.801,54.788
Mato Grosso,2304.152,597.714,106.843,86.264,719.45,373.945,225.078,121.731,48.605
Goiás,4983.775,1316.11,209.794,216.563,1699.992,765.439,430.45,235.558,76.407
Distrito Federal,2321.316,656.193,52.247,69.129,548.14,289.484,207.999,254.082,229.121
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,,
